planta,provincia,localidad,direccion,tipo_empresa,tipo_sustrato,georeferenciado,geojson
Agrotecnica,Santa Fe,La Potasa ,Ruta 40 S S/N,Publica,Desecho Ganaderia,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-59.83285,-29.12965]}"
Sancor,Buenos Aires,Charlone,Sin direccion,Privada,Desecho Indust.,A nivel localidad,"{""type"":""Point"",""coordinates"":[-63.369017,-34.674415]}"
LartIrigoyen,La pampa,Dorila,Zona Rural (Sin especificar),Privada,Desecho Ganaderia,A nivel localidad,"{""type"":""Point"",""coordinates"":[-63.710659,-35.775464]}"
Gobierno provincial (DEISA),San Luis,Carpinteria,Carpinteria (sin especificar),Publica,Desecho Urbano,A nivel localidad,"{""type"":""Point"",""coordinates"":[-65.008666,-32.415548]}"
Municipio,La pampa,Ingeniero Luiggi,,Publica,Desecho Urbano,A nivel localidad,"{""type"":""Point"",""coordinates"":[-64.467434,-35.386812]}"
ACA - TecnoRed,San Luis,Juan Llerena,Zona Rural (Sin especificar),Publica,Desecho Ganaderia,A nivel localidad,"{""type"":""Point"",""coordinates"":[-65.614343,-33.281753]}"
Comunidad Colonia Jaime,Santiago del Estereo,Colonia Jaime,N 34 en el km,Privada,Desecho Indust.,A nivel localidad,
Cerveceria Quilmes,Corrientes,Corrientes (Cap),Garay 340,Privada,Desecho Indust.,,"{""type"":""Point"",""coordinates"":[-58.85001,-27.49511]}"
Yvate,Corrientes,Riachuelo,Ruta 12 km 1012,Privada,Desecho Ganaderia,,"{""type"":""Point"",""coordinates"":[-58.79226,-27.63838]}"
Quilmes,Buenos Aires,Quilmes,12 de Octubre y Gran canaria,Privada,Desecho Indust.,,"{""type"":""Point"",""coordinates"":[-58.25971,-34.72798]}"
Fundacion Caminos Abiertos,Buenos Aires,Carlos Keen (Lujan),Roca y calle 18,ONG,Desecho Ganaderia,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-59.21645,-34.48259]}"
Cenci Agroindustrial,Santa Fe,San Carlos Sur,Sarmiento 952,Privada,Desecho Indust.,A nivel planta/Probable,"{""type"":""Point"",""coordinates"":[-61.10278,-31.75494]}"
