PER,PROD,VENT
2009,0.0,0.0
2010,0.0,0.0
2011,0.0,0.0
2012,20.5,17.395
2013,167.594,169.143
2014,371.257,364.9
2015,479.265,475.57
2016,489.837,490.525
2017,551.964,550.744
2018,585.619,562.957
2019,553.829,549.32
2020,423.575,389.484
2021,533.929,522.606
2022,702.853,671.533
2023,776.747,735.303
2024,728.94,595.79
2025,326.435,276.639
