PER,PROD,VENT
2009,23.297,2.664
2010,124.93,117.806
2011,173.623,165.392
2012,229.989,220.448
2013,304.786,305.609
2014,299.864,298.202
2015,336.144,328.069
2016,400.109,420.366
2017,553.143,526.131
2018,528.162,500.91
2019,519.667,514.098
2020,385.15,374.844
2021,474.128,475.901
2022,455.988,454.625
2023,379.956,401.552
2024,478.578,528.24
2025,146.075,217.016
