fecha,pais_destino,cantidad_ton,monto_fob
7/1/2016,U.S.A.,144840,99564360
8/1/2016,Perú,4877.71,3863146.32
8/1/2016,U.S.A.,175000,124500760
9/1/2016,Perú,13450,4440000
9/1/2016,U.S.A.,153792.21,120517194.9
10/1/2016,Perú,15000,11843000
10/1/2016,U.S.A.,237797.09,189482352
11/1/2016,U.S.A.,185806,152576991.1
12/1/2016,Perú,12000,9600000
12/1/2016,U.S.A.,78706,65205223
1/1/2017,Perú,7000,5320000
1/1/2017,U.S.A.,61350,51170500
2/1/2017,U.S.A.,69400,56066500
3/1/2017,U.S.A.,43000,34195400
4/1/2017,U.S.A.,167600,121452300
5/1/2017,U.S.A.,223953.44,164032249
6/1/2017,U.S.A.,169182,124860810
7/1/2017,PERÚ,11000,7370000
7/1/2017,U.S.A.,194860,143796984
8/1/2017,ESPAÑA,60000,44117200
8/1/2017,PERÚ,5000,3200000
8/1/2017,U.S.A.,39982.84,30276906.92
9/1/2017,HOLANDA,30000,22735000
9/1/2017,PERÚ,12000,8640000
10/1/2017,HOLANDA,10500,7504770
10/1/2017,PAÍSES BAJOS,109000,78349525.7
10/1/2017,MALTA,80500,59770000
11/1/2017,ESPAÑA,30000,22716000
11/1/2017,HOLANDA,23500,17409000
11/1/2017,PAÍSES BAJOS,61000,44108400
11/1/2017,MALTA,70500,52497615
12/1/2017,HOLANDA,30000,22500000
12/1/2017,PERÚ,7700,5736500
12/1/2017,PAÍSES BAJOS,49000,34006500
12/1/2017,MALTA,84090.77,62293477.5
1/18/2018,HOLANDA,5000,3625000
1/18/2018,PAÍSES BAJOS,150000,102597060
1/18/2018,MALTA,58909.23,42624922.5
2/18/2018,HOLANDA,5000,3605000
2/18/2018,PERÚ,5000,3450000
2/18/2018,MALTA,30000,20430000
3/18/2018,PERÚ,6200,4228000
3/18/2018,MALTA,30000,21210000
3/18/2018,CANADÁ,29000,21876000
