indice_tiempo,produccion_total,ventas_totales,prod_maiz,ventas_totales_maiz,prod_cana_azucar,ventas_totales_cana_azucar
2019-11,103745.29,88069.26,47570.97,45099.81,56174.32,42969.45
2019-12,86426.41,97437.58,52909.95,55604.71,33516.46,41832.87
2020-01,76799.33,95902.98,54415.31,55964.09,22384.02,39938.89
2020-02,70153.74,87547.9,47194.07,44588.02,22959.67,42959.88
2020-03,68643.75,77686.63,47951.99,40749.7,20691.76,36936.93
2020-04,15882,9983.28,15613.81,5408.75,268.19,4574.53
2020-05,26088.38,42578.1,14067.24,21359.51,12021.14,21218.59
2020-06,67448.55,55227.89,32633,28280.96,34815.55,26946.93
2020-07,84819.81,62065.76,41766.1,34421.08,43053.71,27644.68
2020-08,77825.99,60815.92,33226.3,33335.65,44599.69,27480.27
2020-09,80817.67,62900.06,36632.28,32670.94,44185.39,30229.12
2020-10,69434.44,61297.17,23107.77,24706.17,46326.67,36591
2020-11,88775.68,68028.3,32869.65,27331.3,55906.03,40697
2020-12,82035.19,80294.67,44097.31,40668.13,37937.88,39626.54
2021-01,60992.11,82803.72,39558.36,45329.42,21433.75,37474.3
2021-02,67132.73,81391.87,44291.47,40010.41,22841.26,41381.46
2021-03,79917.2,88747.15,43792.06,45217.28,36125.14,43529.87
2021-04,68794.92,84076.43,46453.75,45624.1,22341.17,38452.33
2021-05,60026.76,71511.68,40552.96,38425.92,19473.8,33085.76
