PERÍODO;EMPRESA;LOCALIDAD;PROVINCIA;INSUMO;CUPO TOTAL ASIGNADO ;PRODUCCIÓN ;VENTAS TOTALES ;PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA (antes AXION ENERGY ARGENTINA S.A.);PETROBRAS ARGENTINA S.A.;FOX PETROL S.A.;REFINERÍA DEL NORTE S.A.;SHELL ARGENTINA C.A.P.S.A.;YPF S.A.;ENERGÍA Y DERIVADOS DEL PETRÓLEO S.A.;OIL COMBUSTIBLES S.A.;TRAFIGURA ARGENTINA S.A.;REFI PAMPA S.A.;;
abr-15;BIOLEDESMA S.A.;LEDESMA;JUJUY;CAÑA DE AZÚCAR;4.932 ;5.749 ;5.317 ;850 ;0 ;0 ;0 ;1.484 ;2.510 ;0 ;473 ;0 ;0 ;;
abr-15;BIOTRINIDAD S.A.;VILLA LA TRINIDAD;TUCUMÁN;CAÑA DE AZÚCAR;1.973 ;0 ;2.064 ;0 ;0 ;0 ;0 ;0 ;2.064 ;0 ;0 ;0 ;0 ;;
abr-15;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;7.708 ;7.502 ;7.943 ;1.403 ;600 ;0 ;1.408 ;1.052 ;3.118 ;0 ;361 ;0 ;0 ;;
abr-15;DIASER S.A.;SAN LUIS;SAN LUIS;MAÍZ;6.000 ;5.378 ;6.134 ;0 ;0 ;0 ;0 ;0 ;6.134 ;0 ;0 ;0 ;0 ;;
abr-15;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;1.935 ;1.818 ;1.943 ;1.399 ;0 ;0 ;0 ;397 ;0 ;0 ;148 ;0 ;0 ;;
abr-15;PROMAÍZ S.A.;ALEJANDRO ROCA;CÓRDOBA;MAÍZ;10.707 ;11.790 ;10.686 ;2.121 ;1.019 ;77 ;0 ;1.980 ;5.489 ;0 ;0 ;0 ;0 ;;
abr-15;RÍO GRANDE ENERGÍA S.A.;LA MENDIETA;JUJUY;CAÑA DE AZÚCAR;1.110 ;2.145 ;990 ;0 ;0 ;0 ;0 ;589 ;401 ;0 ;0 ;0 ;0 ;;
abr-15;VICENTÍN S.A.I.C.;AVELLANEDA;SANTA FE;MAÍZ;5.134 ;5.324 ;5.123 ;1.239 ;0 ;0 ;0 ;506 ;3.124 ;0 ;254 ;0 ;0 ;;
may-15;ACA BIO COOPERATIVA LTDA.;VILLA MARÍA;CÓRDOBA;MAÍZ;11.067 ;9.433 ;11.187 ;2.167 ;427 ;0 ;0 ;1.612 ;6.297 ;75 ;609 ;0 ;0 ;;
may-15;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;3.914 ;369 ;4.033 ;302 ;0 ;0 ;0 ;2.814 ;917 ;0 ;0 ;0 ;0 ;;
may-15;BIO SAN ISIDRO S.A.;CAMPO SANTO;SALTA;CAÑA DE AZÚCAR;1.013 ;1.196 ;1.018 ;0 ;0 ;0 ;0 ;0 ;1.018 ;0 ;0 ;0 ;0 ;;
may-15;BIOENERGÍA LA CORONA S.A.;CONCEPCIÓN;TUCUMÁN;CAÑA DE AZÚCAR;1.842 ;890 ;1.346 ;0 ;0 ;0 ;0 ;0 ;1.346 ;0 ;0 ;0 ;0 ;;
may-15;BIOENERGÍA SANTA ROSA S.A.;LEÓN ROUGES;TUCUMÁN;CAÑA DE AZÚCAR;2.302 ;1.993 ;2.041 ;873 ;221 ;0 ;0 ;0 ;765 ;0 ;182 ;0 ;0 ;;
may-15;BIOETANOL RÍO CUARTO S.A.;RÍO CUARTO;CÓRDOBA;MAÍZ;7.651 ;7.036 ;7.585 ;977 ;403 ;0 ;0 ;1.600 ;4.095 ;0 ;510 ;0 ;0 ;;
may-15;BIOLEDESMA S.A.;LEDESMA;JUJUY;CAÑA DE AZÚCAR;4.911 ;4.083 ;5.390 ;775 ;0 ;0 ;0 ;1.484 ;2.585 ;0 ;546 ;0 ;0 ;;
may-15;BIOTRINIDAD S.A.;VILLA LA TRINIDAD;TUCUMÁN;CAÑA DE AZÚCAR;1.965 ;703 ;1.313 ;0 ;0 ;0 ;0 ;0 ;1.313 ;0 ;0 ;0 ;0 ;;
may-15;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;7.674 ;7.053 ;7.069 ;975 ;501 ;0 ;1.204 ;1.167 ;2.894 ;0 ;326 ;0 ;0 ;;
may-15;DIASER S.A.;SAN LUIS;SAN LUIS;MAÍZ;7.246 ;6.873 ;7.274 ;0 ;0 ;0 ;0 ;0 ;7.274 ;0 ;0 ;0 ;0 ;;
may-15;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;1.926 ;2.623 ;2.092 ;1.437 ;0 ;0 ;0 ;403 ;0 ;0 ;253 ;0 ;0 ;;
may-15;PROMAÍZ S.A.;ALEJANDRO ROCA;CÓRDOBA;MAÍZ;11.698 ;12.179 ;11.736 ;2.565 ;873 ;39 ;0 ;1.993 ;6.268 ;0 ;0 ;0 ;0 ;;
may-15;RÍO GRANDE ENERGÍA S.A.;LA MENDIETA;JUJUY;CAÑA DE AZÚCAR;1.105 ;0 ;1.099 ;0 ;0 ;0 ;0 ;700 ;399 ;0 ;0 ;0 ;0 ;;
may-15;VICENTÍN S.A.I.C.;AVELLANEDA;SANTA FE;MAÍZ;5.000 ;130 ;72 ;0 ;0 ;0 ;0 ;72 ;0 ;0 ;0 ;0 ;0 ;;
jun-15;ACA BIO COOPERATIVA LTDA.;VILLA MARÍA;CÓRDOBA;MAÍZ;9.521 ;9.864 ;9.798 ;2.374 ;430 ;0 ;0 ;1.624 ;4.784 ;114 ;473 ;0 ;0 ;;
jun-15;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;3.729 ;5.833 ;3.851 ;302 ;0 ;0 ;0 ;2.604 ;945 ;0 ;0 ;0 ;0 ;;
jun-15;BIO SAN ISIDRO S.A.;CAMPO SANTO;SALTA;CAÑA DE AZÚCAR;1.122 ;1.130 ;1.142 ;0 ;0 ;0 ;0 ;0 ;1.142 ;0 ;0 ;0 ;0 ;;
jun-15;BIOENERGÍA LA CORONA S.A.;CONCEPCIÓN;TUCUMÁN;CAÑA DE AZÚCAR;2.039 ;2.099 ;2.070 ;0 ;0 ;0 ;0 ;0 ;2.070 ;0 ;0 ;0 ;0 ;;
jun-15;BIOENERGÍA SANTA ROSA S.A.;LEÓN ROUGES;TUCUMÁN;CAÑA DE AZÚCAR;2.029 ;2.872 ;1.949 ;458 ;219 ;0 ;0 ;0 ;1.016 ;0 ;255 ;0 ;0 ;;
jun-15;BIOETANOL RÍO CUARTO S.A.;RÍO CUARTO;CÓRDOBA;MAÍZ;6.740 ;7.151 ;6.461 ;302 ;627 ;0 ;0 ;1.644 ;3.184 ;0 ;703 ;0 ;0 ;;
jun-15;BIOLEDESMA S.A.;LEDESMA;JUJUY;CAÑA DE AZÚCAR;4.443 ;6.036 ;4.521 ;773 ;0 ;0 ;0 ;1.483 ;1.756 ;0 ;509 ;0 ;0 ;;
jun-15;BIOTRINIDAD S.A.;VILLA LA TRINIDAD;TUCUMÁN;CAÑA DE AZÚCAR;2.174 ;3.469 ;2.263 ;0 ;0 ;0 ;0 ;0 ;2.263 ;0 ;0 ;0 ;0 ;;
jun-15;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;7.310 ;8.328 ;7.498 ;1.118 ;182 ;0 ;1.536 ;1.103 ;3.050 ;34 ;475 ;0 ;0 ;;
jun-15;DIASER S.A.;SAN LUIS;SAN LUIS;MAÍZ;6.255 ;7.492 ;6.259 ;0 ;0 ;0 ;0 ;0 ;6.259 ;0 ;0 ;0 ;0 ;;
jun-15;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;2.133 ;1.914 ;1.910 ;1.363 ;0 ;0 ;0 ;402 ;0 ;0 ;145 ;0 ;0 ;;
jun-15;PROMAÍZ S.A.;ALEJANDRO ROCA;CÓRDOBA;MAÍZ;10.530 ;12.557 ;10.573 ;2.634 ;1.275 ;77 ;0 ;2.001 ;4.586 ;0 ;0 ;0 ;0 ;;
jun-15;RÍO GRANDE ENERGÍA S.A.;LA MENDIETA;JUJUY;CAÑA DE AZÚCAR;1.223 ;0 ;1.282 ;0 ;0 ;0 ;0 ;813 ;469 ;0 ;0 ;0 ;0 ;;
jun-15;VICENTÍN S.A.I.C.;AVELLANEDA;SANTA FE;MAÍZ;4.814 ;5.719 ;4.868 ;1.314 ;0 ;0 ;0 ;509 ;2.786 ;0 ;259 ;0 ;0 ;;
jul-15;ACA BIO COOPERATIVA LTDA.;VILLA MARÍA;CÓRDOBA;MAÍZ;9.874 ;12.277 ;9.822 ;1.948 ;508 ;0 ;0 ;1.584 ;5.177 ;77 ;528 ;0 ;0 ;;
jul-15;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;3.853 ;8.443 ;3.877 ;302 ;0 ;0 ;0 ;2.694 ;881 ;0 ;0 ;0 ;0 ;;
jul-15;BIO SAN ISIDRO S.A.;CAMPO SANTO;SALTA;CAÑA DE AZÚCAR;1.048 ;1.048 ;1.091 ;0 ;0 ;0 ;0 ;0 ;1.091 ;0 ;0 ;0 ;0 ;;
jul-15;BIOENERGÍA LA CORONA S.A.;CONCEPCIÓN;TUCUMÁN;CAÑA DE AZÚCAR;1.906 ;3.579 ;1.913 ;0 ;0 ;0 ;0 ;0 ;1.913 ;0 ;0 ;0 ;0 ;;
jul-15;BIOENERGÍA SANTA ROSA S.A.;LEÓN ROUGES;TUCUMÁN;CAÑA DE AZÚCAR;2.382 ;3.006 ;2.211 ;792 ;216 ;0 ;0 ;0 ;1.019 ;0 ;183 ;0 ;0 ;;
jul-15;BIOETANOL RÍO CUARTO S.A.;RÍO CUARTO;CÓRDOBA;MAÍZ;7.043 ;6.454 ;7.053 ;0 ;633 ;0 ;0 ;1.901 ;3.813 ;0 ;706 ;0 ;0 ;;
jul-15;BIOLEDESMA S.A.;LEDESMA;JUJUY;CAÑA DE AZÚCAR;4.506 ;4.525 ;4.578 ;813 ;0 ;0 ;0 ;1.378 ;1.958 ;0 ;430 ;0 ;0 ;;
jul-15;BIOTRINIDAD S.A.;VILLA LA TRINIDAD;TUCUMÁN;CAÑA DE AZÚCAR;2.033 ;5.019 ;2.124 ;0 ;0 ;0 ;0 ;0 ;2.124 ;0 ;0 ;0 ;0 ;;
jul-15;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;7.941 ;8.821 ;7.897 ;1.223 ;109 ;0 ;1.613 ;1.028 ;3.707 ;0 ;218 ;0 ;0 ;;
jul-15;DIASER S.A.;SAN LUIS;SAN LUIS;MAÍZ;6.725 ;6.123 ;6.713 ;0 ;0 ;0 ;0 ;0 ;6.713 ;0 ;0 ;0 ;0 ;;
jul-15;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;1.789 ;1.762 ;1.867 ;1.325 ;0 ;0 ;0 ;398 ;0 ;0 ;144 ;0 ;0 ;;
jul-15;PROMAÍZ S.A.;ALEJANDRO ROCA;CÓRDOBA;MAÍZ;11.004 ;10.107 ;11.077 ;2.330 ;1.432 ;39 ;0 ;2.118 ;5.158 ;0 ;0 ;0 ;0 ;;
jul-15;RÍO GRANDE ENERGÍA S.A.;LA MENDIETA;JUJUY;CAÑA DE AZÚCAR;1.143 ;2.004 ;1.169 ;0 ;0 ;0 ;0 ;769 ;400 ;0 ;0 ;0 ;0 ;;
jul-15;VICENTÍN S.A.I.C.;AVELLANEDA;SANTA FE;MAÍZ;4.892 ;5.700 ;4.863 ;1.258 ;0 ;0 ;0 ;513 ;2.873 ;0 ;219 ;0 ;0 ;;
ago-15;ACA BIO COOPERATIVA LTDA.;VILLA MARÍA;CÓRDOBA;MAÍZ;9.605 ;12.279 ;9.593 ;2.273 ;513 ;0 ;0 ;1.593 ;4.741 ;0 ;471 ;0 ;0 ;;
ago-15;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;3.864 ;7.159 ;3.899 ;302 ;0 ;0 ;0 ;2.681 ;916 ;0 ;0 ;0 ;0 ;;
ago-15;BIO SAN ISIDRO S.A.;CAMPO SANTO;SALTA;CAÑA DE AZÚCAR;1.051 ;1.084 ;1.053 ;0 ;0 ;0 ;0 ;0 ;1.053 ;0 ;0 ;0 ;0 ;;
ago-15;BIOENERGÍA LA CORONA S.A.;CONCEPCIÓN;TUCUMÁN;CAÑA DE AZÚCAR;1.911 ;3.036 ;1.961 ;0 ;0 ;0 ;0 ;0 ;1.961 ;0 ;0 ;0 ;0 ;;
ago-15;BIOENERGÍA SANTA ROSA S.A.;LEÓN ROUGES;TUCUMÁN;CAÑA DE AZÚCAR;2.389 ;2.848 ;1.987 ;603 ;219 ;0 ;0 ;0 ;1.019 ;0 ;146 ;0 ;0 ;;
ago-15;BIOETANOL RÍO CUARTO S.A.;RÍO CUARTO;CÓRDOBA;MAÍZ;6.881 ;7.130 ;6.931 ;302 ;631 ;0 ;0 ;1.640 ;3.734 ;0 ;623 ;0 ;0 ;;
ago-15;BIOLEDESMA S.A.;LEDESMA;JUJUY;CAÑA DE AZÚCAR;4.923 ;3.818 ;5.061 ;813 ;0 ;0 ;0 ;1.522 ;2.254 ;0 ;472 ;0 ;0 ;;
ago-15;BIOTRINIDAD S.A.;VILLA LA TRINIDAD;TUCUMÁN;CAÑA DE AZÚCAR;1.912 ;4.420 ;2.002 ;0 ;0 ;0 ;0 ;0 ;2.002 ;0 ;0 ;0 ;0 ;;
ago-15;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;7.697 ;6.771 ;7.071 ;1.025 ;106 ;0 ;1.538 ;1.031 ;3.113 ;0 ;258 ;0 ;0 ;;
ago-15;DIASER S.A.;SAN LUIS;SAN LUIS;MAÍZ;6.521 ;5.794 ;6.524 ;0 ;0 ;0 ;0 ;0 ;6.524 ;0 ;0 ;0 ;0 ;;
ago-15;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;2.000 ;1.533 ;1.531 ;980 ;0 ;0 ;0 ;404 ;0 ;0 ;147 ;0 ;0 ;;
ago-15;PROMAÍZ S.A.;ALEJANDRO ROCA;CÓRDOBA;MAÍZ;10.751 ;9.849 ;10.755 ;2.442 ;1.272 ;38 ;0 ;2.029 ;4.973 ;0 ;0 ;0 ;0 ;;
ago-15;RÍO GRANDE ENERGÍA S.A.;LA MENDIETA;JUJUY;CAÑA DE AZÚCAR;1.065 ;2.240 ;1.057 ;0 ;0 ;0 ;0 ;656 ;400 ;0 ;0 ;0 ;0 ;;
ago-15;VICENTÍN S.A.I.C.;AVELLANEDA;SANTA FE;MAÍZ;4.778 ;4.640 ;4.778 ;1.311 ;0 ;0 ;0 ;505 ;2.780 ;0 ;182 ;0 ;0 ;;
sep-15;ACA BIO COOPERATIVA LTDA.;VILLA MARÍA;CÓRDOBA;MAÍZ;9.946 ;3.866 ;9.964 ;2.364 ;507 ;0 ;0 ;1.697 ;4.883 ;0 ;514 ;0 ;0 ;;
sep-15;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;4.058 ;8.102 ;4.079 ;301 ;0 ;0 ;0 ;2.859 ;919 ;0 ;0 ;0 ;0 ;;
sep-15;BIO SAN ISIDRO S.A.;CAMPO SANTO;SALTA;CAÑA DE AZÚCAR;999 ;1.595 ;1.020 ;0 ;0 ;0 ;0 ;0 ;1.020 ;0 ;0 ;0 ;0 ;;
sep-15;BIOENERGÍA LA CORONA S.A.;CONCEPCIÓN;TUCUMÁN;CAÑA DE AZÚCAR;1.910 ;3.047 ;1.961 ;0 ;0 ;0 ;0 ;0 ;1.961 ;0 ;0 ;0 ;0 ;;
sep-15;BIOENERGÍA SANTA ROSA S.A.;LEÓN ROUGES;TUCUMÁN;CAÑA DE AZÚCAR;2.387 ;3.539 ;2.433 ;794 ;219 ;0 ;0 ;0 ;1.200 ;0 ;219 ;0 ;0 ;;
sep-15;BIOETANOL RÍO CUARTO S.A.;RÍO CUARTO;CÓRDOBA;MAÍZ;7.025 ;7.346 ;7.061 ;496 ;480 ;0 ;0 ;1.646 ;3.852 ;0 ;587 ;0 ;0 ;;
sep-15;BIOLEDESMA S.A.;LEDESMA;JUJUY;CAÑA DE AZÚCAR;4.980 ;5.284 ;5.321 ;813 ;0 ;0 ;0 ;1.812 ;2.226 ;0 ;470 ;0 ;0 ;;
sep-15;BIOTRINIDAD S.A.;VILLA LA TRINIDAD;TUCUMÁN;CAÑA DE AZÚCAR;1.930 ;4.656 ;2.011 ;0 ;0 ;0 ;0 ;0 ;2.011 ;0 ;0 ;0 ;0 ;;
sep-15;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;7.957 ;7.810 ;8.407 ;785 ;553 ;0 ;1.586 ;1.215 ;4.012 ;0 ;255 ;0 ;0 ;;
sep-15;DIASER S.A.;SAN LUIS;SAN LUIS;MAÍZ;6.564 ;6.387 ;6.585 ;0 ;0 ;0 ;0 ;0 ;6.585 ;0 ;0 ;0 ;0 ;;
sep-15;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;1.904 ;1.745 ;1.568 ;1.020 ;0 ;0 ;0 ;403 ;0 ;0 ;145 ;0 ;0 ;;
sep-15;PROMAÍZ S.A.;ALEJANDRO ROCA;CÓRDOBA;MAÍZ;10.585 ;12.764 ;10.578 ;2.410 ;1.161 ;39 ;0 ;2.058 ;4.910 ;0 ;0 ;0 ;0 ;;
sep-15;RÍO GRANDE ENERGÍA S.A.;LA MENDIETA;JUJUY;CAÑA DE AZÚCAR;1.145 ;1.975 ;1.122 ;0 ;0 ;0 ;0 ;684 ;437 ;0 ;0 ;0 ;0 ;;
sep-15;VICENTÍN S.A.I.C.;AVELLANEDA;SANTA FE;MAÍZ;4.774 ;5.028 ;4.798 ;1.306 ;0 ;0 ;0 ;511 ;2.763 ;0 ;218 ;0 ;0 ;;
oct-15;ACA BIO COOPERATIVA LTDA.;VILLA MARÍA;CÓRDOBA;MAÍZ;10.480 ;13.727 ;10.515 ;2.531 ;398 ;0 ;0 ;2.016 ;5.098 ;0 ;473 ;0 ;0 ;;
oct-15;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;4.210 ;8.439 ;4.239 ;300 ;0 ;0 ;0 ;3.018 ;921 ;0 ;0 ;0 ;0 ;;
oct-15;BIO SAN ISIDRO S.A.;CAMPO SANTO;SALTA;CAÑA DE AZÚCAR;1.107 ;1.638 ;1.138 ;0 ;0 ;0 ;0 ;0 ;1.138 ;0 ;0 ;0 ;0 ;;
oct-15;BIOENERGÍA LA CORONA S.A.;CONCEPCIÓN;TUCUMÁN;CAÑA DE AZÚCAR;1.948 ;2.934 ;1.978 ;0 ;0 ;0 ;0 ;0 ;1.979 ;0 ;0 ;0 ;0 ;;
oct-15;BIOENERGÍA SANTA ROSA S.A.;LEÓN ROUGES;TUCUMÁN;CAÑA DE AZÚCAR;2.515 ;3.466 ;2.515 ;832 ;219 ;0 ;0 ;0 ;1.317 ;0 ;147 ;0 ;0 ;;
oct-15;BIOETANOL RÍO CUARTO S.A.;RÍO CUARTO;CÓRDOBA;MAÍZ;7.141 ;7.482 ;7.122 ;307 ;513 ;0 ;0 ;1.822 ;3.898 ;0 ;582 ;0 ;0 ;;
oct-15;BIOLEDESMA S.A.;LEDESMA;JUJUY;CAÑA DE AZÚCAR;5.188 ;6.647 ;5.140 ;813 ;0 ;0 ;0 ;1.706 ;2.187 ;0 ;434 ;0 ;0 ;;
oct-15;BIOTRINIDAD S.A.;VILLA LA TRINIDAD;TUCUMÁN;CAÑA DE AZÚCAR;2.041 ;4.248 ;2.073 ;0 ;0 ;0 ;0 ;0 ;2.073 ;0 ;0 ;0 ;0 ;;
oct-15;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;8.385 ;8.301 ;8.362 ;688 ;580 ;0 ;1.668 ;1.217 ;3.988 ;0 ;222 ;0 ;0 ;;
oct-15;DIASER S.A.;SAN LUIS;SAN LUIS;MAÍZ;6.918 ;7.458 ;6.930 ;0 ;0 ;0 ;0 ;0 ;6.930 ;0 ;0 ;0 ;0 ;;
oct-15;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;2.105 ;1.688 ;1.786 ;1.166 ;0 ;0 ;0 ;510 ;0 ;0 ;110 ;0 ;0 ;;
oct-15;PROMAÍZ S.A.;ALEJANDRO ROCA;CÓRDOBA;MAÍZ;11.320 ;13.027 ;11.473 ;2.754 ;1.087 ;38 ;0 ;2.357 ;5.237 ;0 ;0 ;0 ;0 ;;
oct-15;RÍO GRANDE ENERGÍA S.A.;LA MENDIETA;JUJUY;CAÑA DE AZÚCAR;1.207 ;2.138 ;1.271 ;0 ;0 ;0 ;0 ;834 ;436 ;0 ;0 ;0 ;0 ;;
oct-15;VICENTÍN S.A.I.C.;AVELLANEDA;SANTA FE;MAÍZ;5.031 ;4.944 ;5.033 ;1.386 ;0 ;0 ;0 ;509 ;2.922 ;0 ;216 ;0 ;0 ;;
nov-15;ACA BIO COOPERATIVA LTDA.;VILLA MARÍA;CÓRDOBA;MAÍZ;10.642 ;11.623 ;10.669 ;2.683 ;397 ;0 ;0 ;1.992 ;5.154 ;0 ;443 ;0 ;0 ;;
nov-15;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;4.342 ;7.109 ;4.440 ;375 ;0 ;0 ;0 ;3.145 ;920 ;0 ;0 ;0 ;0 ;;
nov-15;BIO SAN ISIDRO S.A.;CAMPO SANTO;SALTA;CAÑA DE AZÚCAR;1.124 ;806 ;1.130 ;0 ;0 ;0 ;0 ;0 ;1.130 ;0 ;0 ;0 ;0 ;;
nov-15;BIOENERGÍA LA CORONA S.A.;CONCEPCIÓN;TUCUMÁN;CAÑA DE AZÚCAR;2.043 ;2.111 ;2.089 ;0 ;0 ;0 ;0 ;0 ;2.089 ;0 ;0 ;0 ;0 ;;
nov-15;BIOENERGÍA SANTA ROSA S.A.;LEÓN ROUGES;TUCUMÁN;CAÑA DE AZÚCAR;2.554 ;3.579 ;2.396 ;867 ;219 ;0 ;0 ;0 ;1.164 ;0 ;146 ;0 ;0 ;;
nov-15;BIOETANOL RÍO CUARTO S.A.;RÍO CUARTO;CÓRDOBA;MAÍZ;7.356 ;6.631 ;7.366 ;452 ;509 ;0 ;0 ;1.703 ;4.114 ;0 ;589 ;0 ;0 ;;
nov-15;BIOLEDESMA S.A.;LEDESMA;JUJUY;CAÑA DE AZÚCAR;4.969 ;3.995 ;4.742 ;773 ;0 ;0 ;0 ;1.529 ;2.043 ;0 ;397 ;0 ;0 ;;
nov-15;BIOTRINIDAD S.A.;VILLA LA TRINIDAD;TUCUMÁN;CAÑA DE AZÚCAR;2.043 ;3.549 ;2.080 ;0 ;0 ;0 ;0 ;0 ;2.080 ;0 ;0 ;0 ;0 ;;
nov-15;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;7.848 ;8.532 ;7.938 ;968 ;546 ;0 ;1.762 ;1.246 ;3.269 ;0 ;147 ;0 ;0 ;;
nov-15;DIASER S.A.;SAN LUIS;SAN LUIS;MAÍZ;7.024 ;6.493 ;7.042 ;0 ;0 ;0 ;0 ;0 ;7.042 ;0 ;0 ;0 ;0 ;;
nov-15;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;1.615 ;1.615 ;1.641 ;1.023 ;0 ;0 ;0 ;508 ;0 ;0 ;110 ;0 ;0 ;;
nov-15;PROMAÍZ S.A.;ALEJANDRO ROCA;CÓRDOBA;MAÍZ;11.492 ;10.244 ;11.490 ;2.719 ;1.086 ;38 ;0 ;1.985 ;5.662 ;0 ;0 ;0 ;0 ;;
nov-15;RÍO GRANDE ENERGÍA S.A.;LA MENDIETA;JUJUY;CAÑA DE AZÚCAR;1.226 ;1.688 ;946 ;0 ;0 ;0 ;0 ;583 ;363 ;0 ;0 ;0 ;0 ;;
nov-15;VICENTÍN S.A.I.C.;AVELLANEDA;SANTA FE;MAÍZ;5.108 ;5.459 ;5.152 ;1.563 ;0 ;0 ;0 ;511 ;2.825 ;0 ;254 ;0 ;0 ;;
dic-15;ACA BIO COOPERATIVA LTDA.;VILLA MARÍA;CÓRDOBA;MAÍZ;12.266 ;10.783 ;12.284 ;2.275 ;609 ;0 ;0 ;2.087 ;7.275 ;0 ;38 ;0 ;0 ;;
dic-15;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;4.794 ;3.707 ;4.797 ;301 ;0 ;0 ;0 ;3.575 ;921 ;0 ;0 ;0 ;0 ;;
dic-15;BIO SAN ISIDRO S.A.;CAMPO SANTO;SALTA;CAÑA DE AZÚCAR;1.241 ;1.391 ;1.233 ;0 ;0 ;0 ;0 ;0 ;1.233 ;0 ;0 ;0 ;0 ;;
dic-15;BIOENERGÍA LA CORONA S.A.;CONCEPCIÓN;TUCUMÁN;CAÑA DE AZÚCAR;2.256 ;3.088 ;2.292 ;0 ;0 ;0 ;0 ;0 ;2.293 ;0 ;0 ;0 ;0 ;;
dic-15;BIOENERGÍA SANTA ROSA S.A.;LEÓN ROUGES;TUCUMÁN;CAÑA DE AZÚCAR;2.820 ;3.571 ;2.905 ;1.664 ;108 ;0 ;0 ;0 ;843 ;0 ;290 ;0 ;0 ;;
dic-15;BIOETANOL RÍO CUARTO S.A.;RÍO CUARTO;CÓRDOBA;MAÍZ;7.200 ;7.492 ;7.142 ;388 ;496 ;0 ;0 ;1.627 ;3.894 ;0 ;737 ;0 ;0 ;;
dic-15;BIOLEDESMA S.A.;LEDESMA;JUJUY;CAÑA DE AZÚCAR;6.016 ;4.475 ;4.974 ;657 ;0 ;0 ;0 ;1.884 ;1.892 ;0 ;542 ;0 ;0 ;;
dic-15;BIOTRINIDAD S.A.;VILLA LA TRINIDAD;TUCUMÁN;CAÑA DE AZÚCAR;2.406 ;481 ;2.416 ;0 ;0 ;0 ;0 ;0 ;2.416 ;0 ;0 ;0 ;0 ;;
dic-15;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;9.400 ;8.557 ;9.735 ;1.573 ;617 ;0 ;1.691 ;1.545 ;3.914 ;0 ;394 ;0 ;0 ;;
dic-15;DIASER S.A.;SAN LUIS;SAN LUIS;MAÍZ;8.095 ;7.880 ;8.075 ;0 ;0 ;0 ;0 ;0 ;8.075 ;0 ;0 ;0 ;0 ;;
dic-15;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;2.359 ;1.635 ;1.810 ;1.087 ;0 ;0 ;0 ;508 ;0 ;0 ;216 ;0 ;0 ;;
