PERÍODO;EMPRESA;LOCALIDAD;PROVINCIA;INSUMO;CUPO TOTAL ASIGNADO ;PRODUCCIÓN ;VENTAS TOTALES ;PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA (antes AXION ENERGY ARGENTINA S.A.);PETROBRAS ARGENTINA S.A.;FOX PETROL S.A.;REFINERÍA DEL NORTE S.A.;SHELL ARGENTINA C.A.P.S.A.;YPF S.A.;ENERGÍA Y DERIVADOS DEL PETRÓLEO S.A.;OIL COMBUSTIBLES S.A.;TRAFIGURA ARGENTINA S.A.;REFI PAMPA S.A.;;
mar-12;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;3.500 ;2.540 ;3.085 ;216 ;0 ;0 ;491 ;0 ;2.156 ;0 ;222 ;0 ;0 ;;
mar-12;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;2.090 ;2.150 ;2.419 ;1.383 ;0 ;0 ;0 ;701 ;0 ;0 ;335 ;0 ;0 ;;
mar-12;RÍO GRANDE ENERGÍA S.A.;LA MENDIETA;JUJUY;CAÑA DE AZÚCAR;800 ;0 ;771 ;0 ;0 ;0 ;0 ;295 ;477 ;0 ;0 ;0 ;0 ;;
abr-12;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;3.500 ;0 ;3.703 ;302 ;0 ;0 ;0 ;1.656 ;1.745 ;0 ;0 ;0 ;0 ;;
abr-12;BIO SAN ISIDRO S.A.;CAMPO SANTO;SALTA;CAÑA DE AZÚCAR;300 ;0 ;654 ;0 ;0 ;0 ;0 ;0 ;654 ;0 ;0 ;0 ;0 ;;
abr-12;BIOENERGÍA LA CORONA S.A.;CONCEPCIÓN;TUCUMÁN;CAÑA DE AZÚCAR;670 ;0 ;673 ;0 ;0 ;0 ;0 ;0 ;673 ;0 ;0 ;0 ;0 ;;
abr-12;BIOENERGÍA SANTA ROSA S.A.;LEÓN ROUGES;TUCUMÁN;CAÑA DE AZÚCAR;1.200 ;0 ;1.105 ;730 ;375 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
abr-12;BIOLEDESMA S.A.;LEDESMA;JUJUY;CAÑA DE AZÚCAR;4.083 ;3.929 ;4.165 ;506 ;0 ;0 ;0 ;838 ;2.123 ;70 ;629 ;0 ;0 ;;
abr-12;BIOTRINIDAD S.A.;VILLA LA TRINIDAD;TUCUMÁN;CAÑA DE AZÚCAR;1.400 ;0 ;1.148 ;0 ;0 ;0 ;0 ;0 ;1.148 ;0 ;0 ;0 ;0 ;;
abr-12;COMPAÑÍA BIONERGÉTICA LA FLORIDA S.A.;LA FLORIDA;TUCUMÁN;CAÑA DE AZÚCAR;3.000 ;2.318 ;2.246 ;105 ;0 ;0 ;476 ;0 ;1.480 ;0 ;186 ;0 ;0 ;;
abr-12;ENERGÍAS ECOLOGICAS DEL TUCUMÁN S.A.;AGUILARES;TUCUMÁN;CAÑA DE AZÚCAR;2.090 ;1.779 ;1.898 ;1.155 ;0 ;0 ;0 ;481 ;0 ;0 ;262 ;0 ;0 ;;
abr-12;RÍO GRANDE ENERGÍA S.A.;LA MENDIETA;JUJUY;CAÑA DE AZÚCAR;800 ;0 ;856 ;0 ;0 ;0 ;0 ;293 ;563 ;0 ;0 ;0 ;0 ;;
may-12;ALCONOA S.R.L.;EL TABACAL;SALTA;CAÑA DE AZÚCAR;3.500 ;2.409 ;3.577 ;301 ;0 ;0 ;0 ;1.407 ;1.869 ;0 ;0 ;0 ;0 ;;
may-12;BIO SAN ISIDRO S.A.;CAMPO SANTO;SALTA;CAÑA DE AZÚCAR;300 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
may-12;BIOENERGÍA LA CORONA S.A.;CONCEPCIÓN;TUCUMÁN;CAÑA DE AZÚCAR;670 ;0 ;699 ;0 ;0 ;0 ;0 ;0 ;699 ;0 ;0 ;0 ;0 ;;
may-12;BIOENERGÍA SANTA ROSA S.A.;LEÓN ROUGES;TUCUMÁN;CAÑA DE AZÚCAR;1.200 ;134 ;1.283 ;724 ;559 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;0 ;;
