formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,2379.2,0,0,0,0,-23.6,0,-2345.6,-10,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,1964,0,-0.3,0,0,0,0,-1963.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,16526.7,1759.8,0,0,-411.7,-2072.1,-443.3,0,0,-14408.8,0,0,0,0,0,-950.8,0,0,0,0,0,0
Petroleo,22122.9,0,-50.3,-102.2,0,0,-292.7,0,0,0,-21625.4,0,0,0,0,-52.3,0,0,0,0,0,0
Carbon Mineral,218.1,794,60.4,0,0,0,19.5,-173,-39.7,0,0,0,-818.8,0,0,-56.3,0,0,0,0,0,-4.3
Leña,498.2,0,0,0,0,0,0,0,-32.1,0,0,0,0,-262.9,0,0,0,-203.1,0,0,0,0
Bagazo,589,0,0,0,0,0,0,0,-31,0,0,0,0,0,0,0,0,0,0,0,0,-558
Aceites Vegetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eolica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,811,0,0,0,0,0,0,0,-13,0,0,0,0,0,0,0,0,0,0,0,0,-798
Electricidad,0,15.5,0,-0.6,0,-709,0,4135.4,346.5,0,0,0,0,0,0,-170,0,-1012.3,-664.8,-28.9,-32.4,-1879.5
Gas Distribuido,0,0,0,0,0,-604.6,0,-2617.7,-333.9,12914.1,0,0,0,0,0,-305.1,0,-3168.1,-1417.6,-34,0,-4433
Gas De Refineria,0,0,0,0,0,0,-26.5,0,-40.5,0,501.3,0,0,0,0,-434.2,0,0,0,0,0,0
Gas Licuado,0,0,-15.4,0,0,0,72.3,0,0,834.6,384.6,0,0,0,0,-6.5,0,-989.4,-136.2,0,-46.9,-97.2
Gasolina Estabilizada Petroleo Y Gas,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,-60,0,0,0,0,0
Otras Naftas,0,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,-458,0,0,0,0,0
Motonaftas,0,127.7,-12.8,-29.1,0,0,0,0,0,0,3947.3,0,0,0,0,0,0,0,0,-4033.1,0,0
Kerosene,0,197.9,-21.8,-622.2,0,0,0,0,0,0,1109.2,0,0,0,0,0,0,-333.9,0,-329.3,0,0
Gasoil,0,641.8,-89.6,-644.7,0,0,0,-379.8,-34.8,0,6556.1,0,0,0,0,-15.5,0,0,-362,-3982.2,-1508.4,-181
Fueloil,0,754.4,-157.4,-689.8,0,0,0,-1483.8,-284.3,0,4480.3,0,0,0,0,-845.8,0,-177.4,-88.7,-354.7,0,-1152.8
Carbon Residual,0,0,-20.6,-46.1,0,0,62.7,0,0,0,759.9,0,-385.6,0,0,-147.3,0,0,0,0,0,-222.9
No Energetico,0,42,2,-138,0,0,-300,0,0,600,1332.3,0,37.7,0,347.6,0,-1923.6,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-100.8,0,0,0,192.2,0,0,-91.4,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-115.5,0,0,0,0,0,370.3,-254.7,0,0,0,0,0,0
Coque De Carbon,0,6.4,-10.6,67.9,0,0,0,0,0,0,0,0,762,0,-755.6,0,0,0,0,0,0,-70
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,160.5,-113.9,0,0,-28,-18.7,0,0,0
Bioetanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,4828.2,689.1,0,2096.7,0,212.5,102.4,151.6,0,0,0,0,0,0,0
