formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,1969.2,0,0,0,0,-19.5,0,-1942.7,-7,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,2252,0,0.5,0,0,0,0,-2252.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,19846,1820.2,0,0,-614,-2277.6,-436.2,0,0,-17229.4,0,0,0,0,0,-1109,0,0,0,0,0,0
Petroleo,24923.6,47.2,4,-922.2,0,0,-462.1,0,0,0,-23565.4,0,0,0,0,-25.1,0,0,0,0,0,0
Carbon Mineral,161.6,888,-67.7,-18.8,0,0,37.2,-83.4,-34.7,0,0,0,-840.6,0,0,-35.4,0,0,0,0,0,-6.1
Leña,558,0,0,0,0,0,0,0,-28.9,0,0,0,0,-406.3,0,0,0,-122.8,0,0,0,0
Bagazo,442,0,0,0,0,0,0,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,-430
Aceites Vegetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eolica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,720.2,0,0,0,0,0,0,0,-66.8,0,0,0,0,0,0,0,0,0,0,0,0,-653.4
Electricidad,0,75.5,0,-4.9,0,-778.3,0,4042.1,344.3,0,0,0,0,0,0,-199.4,0,-956.4,-616.7,-27.1,-35.1,-1844
Gas Distribuido,0,0,0,0,0,-732,0,-4453.5,-482.8,15594.9,0,0,0,0,0,-355.8,0,-3607.2,-1479.1,-180.9,0,-4303.6
Gas De Refineria,0,0,0,0,0,0,-46.7,0,-36,0,600.5,0,0,0,0,-517.8,0,0,0,0,0,0
Gas Licuado,0,0,41.3,-104.6,0,0,-183.2,0,0,934.5,660.8,0,0,0,0,-8.9,0,-1004.2,-157.9,0,-54.7,-123.3
Gasolina Estabilizada Petroleo Y Gas,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,-100,0,0,0,0,0
Otras Naftas,0,0,0,0,0,0,0,0,0,0,439.9,0,0,0,0,0,-439.9,0,0,0,0,0
Motonaftas,0,0,36.8,-795.1,0,0,0,0,0,0,3791.2,0,0,0,0,0,0,0,0,-3033,0,0
Kerosene,0,0,-32.8,-449.2,0,0,0,0,0,0,1222.8,0,0,0,0,0,0,-499,0,-241.9,0,0
Gasoil,0,0,-105.2,-1634.9,0,0,0,-446.1,-31.3,0,7709.5,0,0,0,0,-8.1,0,0,-329,-3619.4,-1371,-164.5
Fueloil,0,0,-127.8,-428,0,0,0,-987.8,-189.9,0,3833.1,0,0,0,0,-826.3,0,0,-127.3,-127.3,-191,-827.7
Carbon Residual,0,0,8.8,-207.1,0,0,-97.7,0,0,0,927.7,0,-415.8,0,0,-58.9,0,0,0,0,0,-157.1
No Energetico,0,31,45,-232,0,0,-200,0,0,600,954.7,0,44,0,343.7,0,-1586.4,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-38.4,0,0,0,181.9,0,0,-143.5,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-125.8,0,0,0,0,0,366.1,-240.3,0,0,0,0,0,0
Coque De Carbon,0,0,-28.3,82.7,0,0,0,0,0,0,0,0,834.1,0,-747.1,0,0,0,0,0,0,-141.4
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,206.3,-112,0,0,-56.6,-37.7,0,0,0
Bioetanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,6123.8,709.4,0,3425.1,0,196.4,200,149.4,0,0,0,0,0,0,0
