formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,3720.1,0,0,0,0,-36.8,0,-3675.7,-7.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,0,2089.3,0,0,0,0,0,-2089.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,44212.4,1441.7,0,-2603.8,-1104.4,-583.7,288.1,0,0,-38162.7,0,0,0,0,0,-3487.6,0,0,0,0,0,0
Petroleo,33299.4,220.2,-159.1,-7731.1,0,0,282.6,0,0,0,-25907.9,0,0,0,0,-4.2,0,0,0,0,0,0
Carbon Mineral,14.3,1067.9,0,0,0,0,-64.6,-329.5,-10.7,0,0,0,-677.4,0,0,0,0,0,0,0,0,0
Leña,793.3,0,0,0,0,0,0,0,-142.2,0,0,0,0,-358.3,0,0,0,-117.1,-58.6,0,0,-117.1
Bagazo,815.3,0,0,0,0,0,0,0,-78.5,0,0,0,0,0,0,0,0,0,0,0,0,-736.8
Aceites Vegetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eolica,135.2,0,0,0,0,0,0,-6.2,0,0,0,0,0,0,0,0,0,0,0,0,-129,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,330.9,0,0,0,0,0,0,0,-265,0,0,0,0,0,0,0,0,0,0,0,0,-65.8
Electricidad,0,689.4,0,-356,0,-1437.8,0,8312,782.5,0,0,0,0,0,0,-304,0,-2097,-1940.3,-52.3,-58.6,-3538.1
Gas Distribuido,0,0,0,-3111.6,0,-1459.5,0,-8872.7,-1086.1,33547.1,0,0,0,0,0,-1095.5,0,-6601.9,-1268.5,-2628.6,0,-7422.7
Gas De Refineria,0,0,0,0,0,0,-279.7,0,-77.1,0,1010.1,0,0,0,0,-653.3,0,0,0,0,0,0
Gas Licuado,0,0,-5.7,-1195.1,0,0,-711.3,0,0,2373.3,1183.3,0,0,0,0,-2,0,-1182.6,-197.1,0,-82.1,-180.7
Gasolina Estabilizada Petroleo Y Gas,0,0,0,-357.9,0,0,72.6,0,0,1127.9,-842.6,0,0,0,0,0,0,0,0,0,0,0
Otras Naftas,0,0,0,-1462.6,0,0,0,0,0,0,1898.1,0,0,0,0,0,-435.5,0,0,0,0,0
Motonaftas,0,10.6,-42.7,-2220,0,0,0,0,0,0,4539.6,0,0,0,0,0,0,0,0,-2287.5,0,0
Kerosene,0,12.6,17,-884.7,0,0,0,0,0,0,1302.3,0,0,0,0,0,0,-25.6,0,-421.6,0,0
Gasoil,0,671.7,-5.2,-408.2,0,0,0,-96.7,-22.5,0,10058.6,0,0,0,0,-13.4,0,0,-101.8,-6721.7,-3259,-101.8
Fueloil,0,576.1,-14.1,-1535.1,0,0,0,-1105,-126.3,0,2683.8,0,0,0,0,-227.2,0,0,-35.3,-47.9,-68.1,-100.8
Carbon Residual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Energetico,0,63,85,-105.2,0,0,0,0,0,1114.4,1186.5,0,20.3,0,590.2,0,-2954.1,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-12.3,0,0,0,101.6,0,0,-89.3,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-105.3,0,0,0,0,0,628.6,-523.4,0,0,0,0,0,0
Coque De Carbon,0,0,40.6,0,0,0,-115.7,0,0,0,1115.9,0,508.1,0,-1283,0,-266,0,0,0,0,0
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,242.3,0,0,0,-145.4,-96.9,0,0,0
Bioetanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,7863.1,1151.1,0,1772.3,0,47.4,116,64.1,0,0,0,0,0,0,0
