formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,4142.9,0,0,0,0,-41,0,-4091.1,-10.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,0,2218.7,-1.5,0,0,0,0,-2217.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,44529,1514.5,0,-2156.9,-775.2,-604.1,601.5,0,0,-39648,0,0,0,0,0,-3460.9,0,0,0,0,0,0
Petroleo,33147.3,79.7,-133.2,-4520.8,0,0,-1122.8,0,0,0,-27441.7,0,0,0,0,-8.5,0,0,0,0,0,0
Carbon Mineral,49.5,979.4,-17.1,0,0,0,-56.3,-299,-14.4,0,0,0,-642.1,0,0,0,0,0,0,0,0,0
Leña,777.4,0,0,0,0,0,0,0,-136.1,0,0,0,0,-358.3,0,0,0,-113.2,-56.6,0,0,-113.2
Bagazo,920,0,0,0,0,0,0,0,-92.9,0,0,0,0,0,0,0,0,0,0,0,0,-827.1
Aceites Vegetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eolica,135,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,-129,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,278.6,0,0,0,0,0,0,0,-278.6,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricidad,0,637.9,0,-435.1,0,-1431.3,0,8928.1,826.3,0,0,0,0,0,0,-315.2,0,-2280.3,-1963.6,-53.1,-63.9,-3849.6
Gas Distribuido,0,0,0,-3382.4,0,-1490.7,0,-9446.9,-1076,34928.7,0,0,0,0,0,-1201.8,0,-6597.1,-1222.3,-2525.6,0,-7986
Gas De Refineria,0,0,0,0,0,0,-229.5,0,-107.6,0,1023.6,0,0,0,0,-686.5,0,0,0,0,0,0
Gas Licuado,0,0,5.2,-1909.2,0,0,0,0,0,2452.4,1122.4,0,0,0,0,-2,0,-1201.5,-200.3,0,-83.4,-183.6
Gasolina Estabilizada Petroleo Y Gas,0,0,0,-257,0,0,0,0,0,1099.1,-802.4,0,0,0,0,0,-39.7,0,0,0,0,0
Otras Naftas,0,40.9,0,-1813.7,0,0,0,0,0,0,2118.3,0,0,0,0,0,-345.5,0,0,0,0,0
Motonaftas,0,25,-35.9,-1533.5,0,0,0,0,0,0,4424.1,0,0,0,0,0,0,0,0,-2879.6,0,0
Kerosene,0,18.8,-7.8,-803.1,0,0,0,0,0,0,1214.5,0,0,0,0,0,0,-23.7,0,-398.7,0,0
Gasoil,0,494.2,-80.9,-263.8,0,0,0,-207.2,-39,0,10833.6,0,0,0,0,-17.6,0,0,-107.2,-7074.7,-3430.2,-107.2
Fueloil,0,953,-4.5,-2025.5,0,0,0,-1498.7,-106.2,0,3312.6,0,0,0,0,-241.7,0,0,-54.4,-73.9,-105,-155.6
Carbon Residual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Energetico,0,96.4,101.9,-118.5,0,0,0,0,0,1167.8,1198,0,19.3,0,570.8,0,-3035.6,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-17.3,0,0,0,96.3,0,0,-79,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-152,0,0,0,0,0,608,-456,0,0,0,0,0,0
Coque De Carbon,0,0,31,-19.9,0,0,-113.3,0,0,0,1122,0,481.6,0,-1240.8,0,-260.6,0,0,0,0,0
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,242.3,0,0,0,-145.4,-96.9,0,0,0
Bioetanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,8837.9,1204.7,0,1875.1,0,44.9,116,62,0,0,0,0,0,0,0
