formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,2283.4,0,0,0,0,-22.6,0,-2250.8,-10,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,1796,0,456.5,0,0,0,0,-2252.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,16593.7,1838,0,0,-438.2,-2421.1,-500.4,0,0,-14098.6,0,0,0,0,0,-973.4,0,0,0,0,0,0
Petroleo,22409.3,0,-79.4,-101.4,0,0,-122.8,0,0,0,-22043.2,0,0,0,0,-62.4,0,0,0,0,0,0
Carbon Mineral,213.1,833,-61.5,0,0,0,-53,-83.4,-34.7,0,0,0,-757.3,0,0,-45.8,0,0,0,0,0,-10.4
Leña,489.2,0,0,0,0,0,0,0,-32.1,0,0,0,0,-255.2,0,0,0,-201.9,0,0,0,0
Bagazo,537,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,-507
Aceites Vegetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eolica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,744.1,0,0,0,0,0,0,0,-29.9,0,0,0,0,0,0,0,0,0,0,0,0,-714.2
Electricidad,0,0.1,0,-0.5,0,-667.3,0,3871.7,344.2,0,0,0,0,0,0,-146.8,0,-906.4,-636.8,-25.7,-35.4,-1797
Gas Distribuido,0,0,0,0,0,-590.5,0,-2797.9,-345.4,12663.2,0,0,0,0,0,-312.3,0,-3002.1,-1402.7,-14.9,0,-4197.3
Gas De Refineria,0,0,0,0,0,0,-20.4,0,-37.8,0,467.1,0,0,0,0,-408.9,0,0,0,0,0,0
Gas Licuado,0,0,-30.7,-21.9,0,0,17.6,0,0,865.4,385.8,0,0,0,0,-4.1,0,-948,-129.1,0,-44.3,-90.7
Gasolina Estabilizada Petroleo Y Gas,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,-70,0,0,0,0,0
Otras Naftas,0,0,0,0,0,0,0,0,0,0,475.4,0,0,0,0,0,-475.4,0,0,0,0,0
Motonaftas,0,0,-21.8,-77.4,0,0,0,0,0,0,4097.5,0,0,0,0,0,0,0,0,-3998.3,0,0
Kerosene,0,0,76.4,-530.4,0,0,0,0,0,0,1159.5,0,0,0,0,0,0,-430.2,0,-275.4,0,0
Gasoil,0,0,69.6,-670.7,0,0,0,-446.1,-47.8,0,6778.9,0,0,0,0,-5.1,0,0,-340.7,-3747.9,-1419.7,-170.4
Fueloil,0,0,-58.3,-943.7,0,0,0,-987.8,-282.5,0,4767,0,0,0,0,-757.2,0,-173.7,-86.9,-347.5,0,-1129.3
Carbon Residual,0,0,19.6,-64.8,0,0,60.5,0,0,0,790.3,0,-470.9,0,0,-160,0,0,0,0,0,-174.7
No Energetico,0,21,2,-101,0,0,-200,0,0,500,1344.3,0,37.7,0,369.7,0,-1973.7,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-150.2,0,0,0,183.5,0,0,-33.3,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-143.3,0,0,0,0,0,393.8,-250.5,0,0,0,0,0,0
Coque De Carbon,0,0,-7.1,116.6,0,0,0,0,0,0,0,0,762.7,0,-803.7,0,0,0,0,0,0,-68.6
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,155.9,-131.6,0,0,-14.6,-9.7,0,0,0
Bioetanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,4946.7,799.6,0,1777.4,0,244.2,99.3,171.8,0,0,0,0,0,0,0
