formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,3463.8,0,0,0,0,-34.3,0,-3423.1,-6.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,0,1910,0,0,0,0,0,-1910.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,40134.6,2808.7,0,-65.5,-951.9,-741.5,-969,0,0,-36094,0,0,0,0,0,-4121.3,0,0,0,0,0,0
Petroleo,28583.1,0,-363.6,-3074.1,0,0,533,0,0,0,-25570.2,0,0,0,0,-108.7,0,0,0,0,0,0
Carbon Mineral,50.2,1549.6,86.2,-32,0,0,-397,-539.2,-14.8,0,0,0,-692.1,0,0,0,0,0,0,0,0,-10.3
Leña,871.8,0,0,0,0,0,0,0,-197.5,0,0,0,0,-419.8,0,0,0,-101.8,-50.9,0,0,-101.8
Bagazo,891.3,0,0,0,0,0,0,0,-144.9,0,0,0,0,0,0,0,0,0,0,0,0,-746.4
Aceites Vegetales,2225.1,0,0,0,0,0,0,0,0,0,0,-2225.1,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,90.6,0,0,0,0,0,0,0,0,0,0,-90.6,0,0,0,0,0,0,0,0,0,0
Eolica,134,0,0,0,0,0,0,-5,-0.1,0,0,0,0,0,0,0,0,0,0,0,-128.9,0
Solar,0.1,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,341.5,0,0,0,0,0,0,0,-341.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricidad,0,939.9,0,-108.6,0,-1630,0,9865.9,1269.7,0,0,0,0,0,0,-369.9,0,-3107.6,-2438.5,-59.6,-86.5,-4274.6
Gas Distribuido,0,2864.3,-2.2,-103.5,-165.4,-1318.2,0,-10749.3,-1918.9,32167.8,0,0,0,0,0,-1071.8,0,-8657.4,-1394.9,-2291.7,0,-7358.9
Gas De Refineria,0,0,0,0,0,0,-27,0,-83.5,0,1010.3,0,0,0,0,-899.8,0,0,0,0,0,0
Gas Licuado,0,0,33,-1416.9,0,0,0,0,0,1923.1,1300.7,0,0,0,0,-16.5,0,-1312.8,-218.8,0,-91.2,-200.6
Gasolina Estabilizada Petroleo Y Gas,0,0,0,-278.5,0,0,0,0,0,1105.7,-881.2,0,0,0,0,0,54,0,0,0,0,0
Otras Naftas,0,60.3,75.4,-1289.6,0,0,0,0,0,0,1378.2,0,0,0,0,-1.4,-222.9,0,0,0,0,0
Motonaftas,0,107.4,-24.1,-1,0,0,0,0,0,0,5148.5,0,0,0,0,0,0,0,0,-5230.8,0,0
Kerosene,0,86.7,-4.7,-923.3,0,0,0,0,0,0,1376.3,0,0,0,0,0,0,-38.1,0,-496.9,0,0
Gasoil,0,3718.5,-271.4,-185.3,0,0,0,-1846.6,-59.1,0,10159.6,0,0,0,0,-2,0,0,-115.1,-7599.1,-3684.4,-115.1
Fueloil,0,1429.5,-178.6,-1192.8,0,0,0,-2560,-72.3,0,3216.8,0,0,0,0,-247.5,0,0,-55.3,-75.1,-106.7,-158.1
Carbon Residual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Energetico,0,88.3,-15.7,-126.2,0,0,0,0,0,897.5,1086,0,20.8,0,530.6,0,-2481.2,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-10.8,0,0,0,103.8,0,0,-93.1,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-146.3,0,0,0,0,0,565.2,-418.9,0,0,0,0,0,0
Coque De Carbon,0,0,0,0,0,0,0,0,0,0,947,0,519.1,0,-1153.5,0,-312.5,0,0,0,0,0
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,283.9,0,0,0,-170.3,-113.6,0,0,0
Bioetanol,0,0,0,0,0,0,-4,0,0,0,-83.8,88,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,-1467.9,0,0,0,-6.2,0,0,-660.2,2134.3,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,11173.9,1726.1,-0.1,1572.1,93.4,48.4,135.9,57.7,0,0,0,0,0,0,0
