formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,2887.7,0,0,0,0,-28.6,0,-2849.1,-10,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,2237,0,0.4,0,0,0,0,-2237.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,33307,1454.3,0,-640.6,-3118.4,-1044.1,-519.3,0,0,-26703.4,0,0,0,0,0,-2735.5,0,0,0,0,0,0
Petroleo,43741.4,1191.6,-166,-17074.5,0,0,389.8,0,0,0,-28058.8,0,0,0,0,-23.6,0,0,0,0,0,0
Carbon Mineral,169.5,713,-49,-2,0,0,8.2,-231,-30.4,0,0,0,-555,0,0,-7.4,0,0,0,0,0,-16
Leña,630,0,0,0,0,0,0,0,-32.8,0,0,0,0,-345.2,0,0,0,-205.7,0,0,0,-46.3
Bagazo,868,0,0,0,0,0,0,0,-37.1,0,0,0,0,0,0,0,0,0,0,0,0,-831
Aceites Vegetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eolica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,459.1,0,0,0,0,0,0,0,-43.9,0,0,0,0,0,0,0,0,0,0,0,0,-415.2
Electricidad,0,688,0,0,0,-947.6,0,5863,515.6,0,0,0,0,0,0,-216.5,0,-1649.4,-1432.4,-40.8,-50.4,-2729.5
Gas Distribuido,0,0,0,-1030,0,-1013.4,0,-7094.8,-541.5,24376.2,0,0,0,0,0,-771.1,0,-5116.1,-1017.6,-1172,0,-6619.8
Gas De Refineria,0,0,0,0,0,0,-138.9,0,-31.5,0,755.7,0,0,0,0,-585.3,0,0,0,0,0,0
Gas Licuado,0,0,3.3,-631.6,0,0,-86.6,0,0,1241.7,1066.5,0,0,0,0,-4.4,-167.5,-1004.2,-176.4,0,-75.5,-165.4
Gasolina Estabilizada Petroleo Y Gas,0,0,0,-99.9,0,0,0,0,0,165.3,0,0,0,0,0,0,-65.4,0,0,0,0,0
Otras Naftas,0,79.7,0,-933.1,0,0,0,0,0,0,1629.8,0,0,0,0,0,-776.4,0,0,0,0,0
Motonaftas,0,27.6,-52.5,-1389.3,0,0,0,0,0,0,6243.1,0,0,0,0,0,0,0,0,-4828.8,0,0
Kerosene,0,131.1,-3.7,-857.9,0,0,0,0,0,0,1378.7,0,0,0,0,0,0,-201,0,-447.1,0,0
Gasoil,0,562,-8.7,-1618.4,0,0,0,-137.7,-20.9,0,10720,0,0,0,0,-29,0,0,-189.3,-6248.5,-2840.2,-189.3
Fueloil,0,28.6,-45,-476.7,0,0,921.5,-820.3,-39.8,0,1542.9,0,0,0,0,-316.8,0,0,-79.4,-79.4,-119.2,-516.4
Carbon Residual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Energetico,0,137,-38,-420,0,0,-500,0,0,920.1,855.6,0,16.6,0,549.9,0,-1521.2,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-62.9,0,0,0,83.2,0,0,-20.4,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-133,0,0,0,0,0,585.8,-452.8,0,0,0,0,0,0
Coque De Carbon,0,56.5,-28.9,-66.3,0,0,-92.8,0,0,0,1124.1,0,416.2,0,-1195.4,0,-213.4,0,0,0,0,0
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,210,-43.9,0,0,-99.7,-66.5,0,0,0
Bioetanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,7507.5,468.1,0,2742.4,0,38.8,135.2,103.6,0,0,0,0,0,0,0
