formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,3436.6,0,0,0,0,-34,0,-3392.7,-9.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,0,2142,0,0,0,0,0,-2142.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,44733.1,1412.5,0,-664.1,-736.3,-736.3,-191,0,0,-40013.1,0,0,0,0,0,-3804.5,0,0,0,0,0,0
Petroleo,32774.4,40.4,-18.4,-2938,0,0,-662,0,0,0,-29158.6,0,0,0,0,-37.9,0,0,0,0,0,0
Carbon Mineral,61.8,1278.9,41.1,-33,0,0,-114,-318.1,-15.7,0,0,0,-876.1,0,0,0,0,0,0,0,0,-25
Leña,766,0,0,0,0,0,0,0,-133.2,0,0,0,0,-350.6,0,0,0,-112.9,-56.4,0,0,-112.9
Bagazo,931.8,0,0,0,0,0,0,0,-154.2,0,0,0,0,0,0,0,0,0,0,0,0,-777.6
Aceites Vegetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eolica,134.2,0,0,0,0,0,0,-5.3,0,0,0,0,0,0,0,0,0,0,0,0,-128.9,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,249.1,0,0,0,0,0,0,0,-249.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricidad,0,897.6,0,-230.1,0,-1496.1,0,8896.9,866.2,0,0,0,0,0,0,-340.9,0,-2561.6,-2215.7,-54,-64.7,-3697.7
Gas Distribuido,0,0,-20.3,-1507.2,-174.3,-1967.9,0,-10106.1,-1358.3,35758.4,0,0,0,0,0,-1202.3,0,-8013.3,-1380.2,-2372,0,-7656.5
Gas De Refineria,0,0,0,0,0,0,-211,0,-83.2,0,1022.7,0,0,0,0,-728.6,0,0,0,0,0,0
Gas Licuado,0,0,2.9,-1634.8,0,0,0,0,0,2188,1129.7,0,0,0,0,-2.2,0,-1212.1,-202,0,-84.2,-185.2
Gasolina Estabilizada Petroleo Y Gas,0,0,0,-187.1,0,0,0,0,0,1046.5,-785.8,0,0,0,0,0,-73.6,0,0,0,0,0
Otras Naftas,0,112.1,0,-2197.8,0,0,0,0,0,0,2541.5,0,0,0,0,0,-455.8,0,0,0,0,0
Motonaftas,0,17.3,3.7,-1052.4,0,0,0,0,0,0,4481,0,0,0,0,0,0,0,0,-3449.6,0,0
Kerosene,0,2.4,-1.2,-845.9,0,0,0,0,0,0,1282.2,0,0,0,0,0,0,-22.3,0,-415.2,0,0
Gasoil,0,1617.9,-28.2,-256.2,0,0,0,-742.8,-51.9,0,11105.2,0,0,0,0,-14,0,0,-116.3,-7675.8,-3721.6,-116.3
Fueloil,0,968.5,-7.4,-2288.8,0,0,0,-1831.3,-140.7,0,4181.6,0,0,0,0,-281.8,0,0,-84,-114,-162,-240
Carbon Residual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Energetico,0,42.7,1.7,-139.7,0,0,0,0,0,1020.4,1187.6,0,26.3,0,619.2,0,-2758.1,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-17.2,0,0,0,131.4,0,0,-114.3,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-156,0,0,0,0,0,659.6,-503.5,0,0,0,0,0,0
Coque De Carbon,0,0,0,0,0,0,0,0,0,0,1028.3,0,657.1,0,-1346,0,-339.3,0,0,0,0,0
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,237.1,0,0,0,-142.3,-94.8,0,0,0
Bioetanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,9641.7,1503.1,-0.1,1984.5,0,61.3,113.5,67.3,0,0,0,0,0,0,0
