formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,2128.7,0,0,0,0,-21.1,0,-2098.7,-9,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,2185,0,-0.3,0,0,0,0,-2184.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,21591.8,1659.2,0,0,-727.9,-2195.5,-555,0,0,-18420.1,0,0,0,0,0,-1352.4,0,0,0,0,0,0
Petroleo,28699,9.7,-178,-2728.7,0,0,-530.4,0,0,0,-25262.7,0,0,0,0,-8.9,0,0,0,0,0,0
Carbon Mineral,118,714,-92.7,-4,0,0,111.7,-130.1,-31.6,0,0,0,-592.5,0,0,-36.9,0,0,0,0,0,-55.9
Leña,628.7,0,0,0,0,0,0.6,0,-32.1,0,0,0,0,-381.9,0,0,0,-215.4,0,0,0,0
Bagazo,455,0,0,0,0,0,0,0,-15.9,0,0,0,0,0,0,0,0,0,0,0,0,-439.1
Aceites Vegetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eolica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,770.1,0,0,0,0,0,0,0,-55.9,0,0,0,0,0,0,0,0,0,0,0,0,-714.2
Electricidad,0,223.8,0,-2,0,-950.2,0,4497.8,327.4,0,0,0,0,0,0,-213.7,0,-1148.9,-787.3,-23.9,-33,-1890
Gas Distribuido,0,0,0,0,0,-803.5,0,-4733,-338.2,16525.2,0,0,0,0,0,-434,0,-4029.7,-1079,-468.1,0,-4639.7
Gas De Refineria,0,0,0,0,0,0,-171.5,0,-28.8,0,673,0,0,0,0,-472.7,0,0,0,0,0,0
Gas Licuado,0,0,-88.6,-275.8,0,0,-273,0,0,894.9,1008.5,0,0,0,0,-5.3,0,-887.8,-166.6,0,-59.9,-146.4
Gasolina Estabilizada Petroleo Y Gas,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,-100,0,0,0,0,0
Otras Naftas,0,0,0,0,0,0,0,0,0,0,619.9,0,0,0,0,0,-619.9,0,0,0,0,0
Motonaftas,0,0,-142.7,-1444,0,0,0,0,0,0,5343.2,0,0,0,0,0,0,0,0,-3756.4,0,0
Kerosene,0,115.9,-84,-539.1,0,0,0,0,0,0,1175.4,0,0,0,0,0,0,-389.2,0,-279,0,0
Gasoil,0,15.7,-156.5,-1982.7,0,0,0,-400.1,-52.2,0,9044.9,0,0,0,0,-6.2,0,0,-258.5,-4265.5,-1809.6,-129.3
Fueloil,0,559.1,-92.6,-786.2,0,0,91.3,-1452.7,-214.9,0,3121,0,0,0,0,-1161.6,0,0,-6.4,-6.4,-9.5,-41.3
Carbon Residual,0,0,-39.3,-370.1,0,0,-23,0,0,0,1080.9,0,-363.8,0,0,-88.4,0,0,0,0,0,-196.3
No Energetico,0,40,-30,-70,0,0,-500,0,0,900,759.8,0,52.4,0,361.6,0,-1513.8,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-24,0,0,0,162.9,0,0,-138.9,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-44.7,0,0,0,0,0,385.1,-340.4,0,0,0,0,0,0
Coque De Carbon,0,109.6,0,89.8,0,0,0,0,0,0,0,0,671.5,0,-786,0,0,0,0,0,0,-84.8
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,232.4,-68.1,0,0,-98.6,-65.7,0,0,0
Bioetanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,6501.6,519.8,0,2436,0,69.5,149.5,107.4,0,0,0,0,0,0,0
