formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,3130.9,0,0,0,0,-31,0,-3091.9,-8,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,1775,0,0,0,0,0,0,-1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,38687,0,0,-1912.4,-2063,-535.4,749.3,0,0,-31826.5,0,0,0,0,0,-3099,0,0,0,0,0,0
Petroleo,39213.6,1198.5,167.7,-14372.2,0,0,0,0,0,0,-26193.8,0,0,0,0,-13.8,0,0,0,0,0,0
Carbon Mineral,151.7,575,0,0,0,0,49.7,-264.6,-39.2,0,0,0,-418.5,0,0,-14.8,0,0,0,0,0,-39.3
Leña,655.7,0,0,0,0,0,0.6,0,-51.4,0,0,0,0,-333.6,0,0,0,-225,0,0,0,-46.3
Bagazo,884,0,0,0,0,0,0,0,-44.5,0,0,0,0,0,0,0,0,0,0,0,0,-839.5
Aceites Vegetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eolica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,504.7,0,0,0,0,0,0,0,-109.7,0,0,0,0,0,0,0,0,0,0,0,0,-395
Electricidad,0,623.4,0,-517.9,0,-1064.2,0,6971,681.1,0,0,0,0,0,0,-231.5,0,-1848.3,-1528.3,-48.1,-41.3,-2995.8
Gas Distribuido,0,0,0,-1970.4,0,-1130.3,0,-9046.2,-859.5,28681.3,0,0,0,0,0,-883.1,0,-6062.3,-1156.2,-1391.9,0,-6181.4
Gas De Refineria,0,0,0,0,0,0,-54.6,0,-46.8,0,697.8,0,0,0,0,-596.4,0,0,0,0,0,0
Gas Licuado,0,0,-3.7,-147.3,0,0,-859.4,0,0,1618,1042.5,0,0,0,0,-4.4,-84.4,-1111.1,-192.8,0,-80.7,-176.7
Gasolina Estabilizada Petroleo Y Gas,0,0,0,-4.8,0,0,0,0,0,857.2,-781.6,0,0,0,0,0,-70.7,0,0,0,0,0
Otras Naftas,0,6.5,0,-1203,0,0,0,0,0,0,1447.2,0,0,0,0,0,-250.7,0,0,0,0,0
Motonaftas,0,13.7,-13.3,-1964.7,0,0,0,0,0,0,5543.7,0,0,0,0,0,0,0,0,-3579.4,0,0
Kerosene,0,12.6,-9.7,-761.5,0,0,0,0,0,0,1249.7,0,0,0,0,0,0,-88.2,0,-402.8,0,0
Gasoil,0,122.4,-61.1,-1311,0,0,0,-116,-23.5,0,9500.7,0,0,0,0,-19.6,0,0,-161.8,-5340.6,-2427.6,-161.8
Fueloil,0,1,-4.5,-636.5,0,0,838,-641.1,-41.7,0,1360.7,0,0,0,0,-294.2,0,0,-58.2,-58.2,-87.3,-378.2
Carbon Residual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Energetico,0,117,35.7,-198,0,0,0,0,0,670.1,864.7,0,12.6,0,512.7,0,-2014.8,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-51.8,0,0,0,62.8,0,0,-10.9,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-84.1,0,0,0,0,0,546.2,-462.1,0,0,0,0,0,0
Coque De Carbon,0,3.5,-280.8,229,0,0,-82.2,0,0,0,1120.1,0,313.9,0,-1114.7,0,-189,0,0,0,0,0
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,203.5,0,0,0,-122.1,-81.4,0,0,0
Bioetanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,7963.8,679.1,0,4148.3,0,29.3,130.2,55.7,0,0,0,0,0,0,0
