formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,3597.7,0,0,0,0,-35.6,0,-3558.1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,0,1280,0,0,0,0,0,-1280.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,36567.3,4897,0,-7.1,-76.7,-824.3,-235,0,0,-36010.2,0,0,0,0,0,-4311,0,0,0,0,0,0
Petroleo,27484.3,487.7,176.1,-1898,0,0,66,0,0,0,-26217.5,0,0,0,0,-98.8,0,0,0,0,0,0
Carbon Mineral,33.4,1463.6,66.4,-16.9,0,0,-180,-542.4,-12,0,0,0,-806.7,0,0,0,0,0,0,0,0,-5.9
Leña,869.3,0,0,0,0,0,0,0,-178.9,0,0,0,0,-474.6,0,0,0,-86.4,-43.2,0,0,-86.4
Bagazo,866,0,0,0,0,0,0,0,-106.5,0,0,0,0,0,0,0,0,0,0,0,0,-759.6
Aceites Vegetales,2387.2,0,0,0,0,0,0,0,0,0,0,-2387.2,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,350.2,0,0,0,0,0,0,0,0,0,0,-350.2,0,0,0,0,0,0,0,0,0,0
Eolica,182.2,0,0,0,0,0,0,-53.2,0,0,0,0,0,0,0,0,0,0,0,0,-128.9,0
Solar,1.4,0,0,0,0,0,0,-1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,405.3,0,0,0,0,0,0,0,-405.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricidad,0,862.3,0,-14.3,0,-1531.2,0,10693.1,1222.3,0,0,0,0,0,0,-375.3,0,-3773.3,-2524.1,-50.6,-89.6,-4419.3
Gas Distribuido,0,5481.3,-7.5,-45.7,-171.8,-1877,0,-12070.6,-1606.5,31885.2,0,0,0,0,0,-1019.2,0,-9220.4,-1467.1,-2367.6,0,-7513.2
Gas De Refineria,0,0,0,0,0,0,-58,0,-52.3,0,1148.5,0,0,0,0,-1038.2,0,0,0,0,0,0
Gas Licuado,0,0,-4.4,-961.4,0,0,0,0,0,1551,1331,0,0,0,0,-27.5,0,-1359.9,-226.6,0,-94.4,-207.8
Gasolina Estabilizada Petroleo Y Gas,0,0,0,-242.7,0,0,0,0,0,1190.5,-799.8,0,0,0,0,0,-148,0,0,0,0,0
Otras Naftas,0,18.1,-36.6,-716.4,0,0,0,0,0,0,1040.3,0,0,0,0,-1.8,-303.7,0,0,0,0,0
Motonaftas,0,337.4,-14.2,0,0,0,0,0,0,0,5469.4,0,0,0,0,0,0,0,0,-5792.6,0,0
Kerosene,0,63.6,10.6,-924.6,0,0,0,0,0,0,1366.3,0,0,0,0,0,0,-18.2,0,-497.9,0,0
Gasoil,0,3234.8,-10.6,-261.3,0,0,0,-1553.5,-61.2,0,9610.4,0,0,0,0,-1.8,0,0,-109.6,-7231.6,-3506.2,-109.6
Fueloil,0,541.5,-15.3,-1566.3,0,0,0,-2660.6,-116.1,0,4500.7,0,0,0,0,-284.8,0,0,-55.9,-75.8,-107.7,-159.6
Carbon Residual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Energetico,0,72.4,-1.8,-180.9,0,0,0,0,0,1383.6,1055.5,0,24.2,0,547.9,0,-2900.9,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-10.4,0,0,0,121,0,0,-110.6,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-142.5,0,0,0,0,0,583.6,-441.1,0,0,0,0,0,0
Coque De Carbon,0,0,0,0,0,0,0,0,0,0,874.6,0,605,0,-1191,0,-288.6,0,0,0,0,0
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,-192.6,-128.4,0,0,0
Bioetanol,0,0,0,0,0,0,-4,0,0,0,-335.9,340,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,-1426.4,0,0,0,-0.3,0,0,-863.1,2289.8,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,11027.2,1473.4,-0.1,1819.5,107.6,56.5,153.6,59.5,0,0,0,0,0,0,0
