formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,3674.1,0,0,0,0,-36.4,0,-3626.8,-11,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,0,2213.1,0,0,0,0,0,-2213.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,43927.1,70.8,0,-2565,-2418.5,-980.1,-207.7,0,0,-34442.2,0,0,0,0,0,-3384.5,0,0,0,0,0,0
Petroleo,37067.3,253.6,-53.1,-11868.8,0,0,-239,0,0,0,-25104.4,0,0,0,0,-55.7,0,0,0,0,0,0
Carbon Mineral,53,499,-7.3,0,0,0,130.2,-38.5,-11,0,0,0,-625.4,0,0,0,0,0,0,0,0,0
Leña,806.1,0,0,0,0,0,0,0,-109.9,0,0,0,0,-365.1,0,0,0,-132.4,-66.2,0,0,-132.4
Bagazo,749,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,-672
Aceites Vegetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eolica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,356.1,0,0,0,0,0,0,0,-158.6,0,0,0,0,0,0,0,0,0,0,0,0,-197.5
Electricidad,0,651.7,0,-218.7,0,-1271.2,0,7197.1,720,0,0,0,0,0,0,-211.2,0,-1855.3,-1681.4,-46.5,-50.6,-3234
Gas Distribuido,0,0,0,-3144.9,0,-1305.8,0,-7263.3,-877.3,29661.9,0,0,0,0,0,-870.7,0,-6041.6,-1170.3,-2191.2,0,-6796.9
Gas De Refineria,0,0,0,0,0,0,-75.3,0,-74.8,0,1058.2,0,0,0,0,-908,0,0,0,0,0,0
Gas Licuado,0,0,-20.6,-1712.3,0,0,-272.5,0,0,2295.7,1255.2,0,0,0,0,-3.3,0,-1110.3,-185.1,0,-77.1,-169.6
Gasolina Estabilizada Petroleo Y Gas,0,0,0,-355.3,0,0,0,0,0,1325.7,-952.5,0,0,0,0,0,-17.9,0,0,0,0,0
Otras Naftas,0,53.1,0,-1581.1,0,0,0,0,0,0,1887.5,0,0,0,0,0,-359.5,0,0,0,0,0
Motonaftas,0,3.5,31.5,-2314.4,0,0,0,0,0,0,4698.7,0,0,0,0,0,0,0,0,-2419.2,0,0
Kerosene,0,1.7,18.9,-777.4,0,0,0,0,0,0,1180.7,0,0,0,0,0,0,-29.2,0,-394.7,0,0
Gasoil,0,369.5,-43.2,-1543.7,0,0,0,-79.1,-13,0,10155,0,0,0,0,-54.3,0,0,-87.9,-5802.2,-2813.2,-87.9
Fueloil,0,0.3,-1.1,-1231.1,0,0,308.7,-119.2,-89,0,1868.9,0,0,0,0,-216.2,0,0,-73,-99,-140.8,-208.5
Carbon Residual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Energetico,0,36.8,82,-149.7,0,0,-200,0,0,1158.8,1020.6,0,18.8,0,563.6,0,-2531,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-73,0,0,0,93.8,0,0,-20.8,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-137.7,0,0,0,0,0,600.4,-462.7,0,0,0,0,0,0
Coque De Carbon,0,0,33.1,-114.1,0,0,-112.9,0,0,0,1209.7,0,469,0,-1225.3,0,-259.6,0,0,0,0,0
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,222.1,0,0,0,-133.3,-88.9,0,0,0
Bioetanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,6142.9,912.3,0,1722.4,0,43.8,143,61.3,0,0,0,0,0,0,0
