formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,4021.9,0,0,0,0,-39.8,0,-3972,-10,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,0,2030,-0.4,0,0,0,0,-2029.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,39585.8,0,0,-2163.3,-2775.1,-552.3,296.4,0,0,-31194.9,0,0,0,0,0,-3196.6,0,0,0,0,0,0
Petroleo,38778.6,1429.4,46.6,-14850.2,0,0,-113.2,0,0,0,-25279.5,0,0,0,0,-11.8,0,0,0,0,0,0
Carbon Mineral,110,572,-42.7,0,0,0,7.8,-121.1,-21,0,0,0,-505,0,0,0,0,0,0,0,0,0
Leña,606.2,0,0,0,0,0,0,0,-46.9,0,0,0,0,-345.9,0,0,0,-85.5,-42.4,0,0,-85.5
Bagazo,910,0,0,0,0,0,0,0,-45,0,0,0,0,0,0,0,0,0,0,0,0,-865
Aceites Vegetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eolica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,429.9,0,0,0,0,0,0,0,-100.7,0,0,0,0,0,0,0,0,0,0,0,0,-329.2
Electricidad,0,637.8,0,-486.8,0,-1131.2,0,7136.8,615,0,0,0,0,0,0,-214.5,0,-1900.5,-1644.7,-43.8,-40.7,-2927.4
Gas Distribuido,0,0,0,-2808.7,0,-1188.8,0,-7385.3,-655.1,27640,0,0,0,0,0,-852.3,0,-5853.2,-1128.8,-1536.3,0,-6231.4
Gas De Refineria,0,0,0,0,0,0,-150.3,0,-55,0,917.6,0,0,0,0,-712.3,0,0,0,0,0,0
Gas Licuado,0,0,-6.5,-719.3,0,0,-787.1,0,0,1843.9,1235.1,0,0,0,0,-3.3,0,-1125.2,-187.5,0,-78.1,-171.9
Gasolina Estabilizada Petroleo Y Gas,0,0,0,-98.9,0,0,0,0,0,978.9,-761.2,0,0,0,0,0,-118.9,0,0,0,0,0
Otras Naftas,0,24.3,0,-1365.5,0,0,0,0,0,0,1479.9,0,0,0,0,0,-138.7,0,0,0,0,0
Motonaftas,0,57.6,-96.4,-2078.1,0,0,0,0,0,0,5378.3,0,0,0,0,0,0,0,0,-3261.4,0,0
Kerosene,0,51.4,4.1,-865.3,0,0,0,0,0,0,1310.3,0,0,0,0,0,0,-76.1,0,-424.4,0,0
Gasoil,0,387.8,45.2,-1738.7,0,0,0,-85.3,-15,0,10450.3,0,0,0,0,-21.8,0,0,-90.2,-5954.9,-2887.2,-90.2
Fueloil,0,13.9,-4.9,-1064.7,0,0,335.2,-144.2,-32,0,1689.3,0,0,0,0,-200.8,0,0,-82.9,-112.5,-159.8,-236.8
Carbon Residual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Energetico,0,76.9,88.4,-121.7,0,0,0,0,0,732.1,825,0,15.1,0,528.5,0,-2144.3,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-92,0,0,0,75.7,0,0,16.3,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-118.8,0,0,0,0,0,563,-444.2,0,0,0,0,0,0
Coque De Carbon,0,0,31.7,-34.4,0,0,-115,0,0,0,1152.4,0,378.7,0,-1149,0,-264.4,0,0,0,0,0
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,210.9,0,0,0,-126.6,-84.4,0,0,0
Bioetanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,6600.7,576.6,0,1602.4,0,35.3,134.9,57.5,0,0,0,0,0,0,0
