formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,3565,0,0,0,0,-35.3,0,-3525.8,-3.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,0,2204,0,0,0,0,0,-2203.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,37786.5,4957,0,-0.5,-55.8,-939.4,216,0,0,-37432.4,0,0,0,0,0,-4531.6,0,0,0,0,0,0
Petroleo,27495.7,837.1,-229.8,-1877.9,0,0,561,0,0,0,-26695.4,0,0,0,0,-90.6,0,0,0,0,0,0
Carbon Mineral,19.8,1431.6,70.8,-8.5,0,0,-154,-525.8,-9.9,0,0,0,-818.8,0,0,0,0,0,0,0,0,-4.8
Leña,912.9,0,0,0,0,0,0,0,-208.1,0,0,0,0,-495.4,0,0,0,-83.7,-41.9,0,0,-83.7
Bagazo,804.3,0,0,0,0,0,0,0,-146,0,0,0,0,0,0,0,0,0,0,0,0,-658.3
Aceites Vegetales,1672.5,0,0,0,0,0,0,0,0,0,0,-1672.5,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,425.4,0,0,0,0,0,0,0,0,0,0,-425.4,0,0,0,0,0,0,0,0,0,0
Eolica,180,0,0,0,0,0,0,-51,0,0,0,0,0,0,0,0,0,0,0,0,-128.9,0
Solar,1.3,0,0,0,0,0,0,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,365.3,0,0,0,0,0,0,0,-365.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricidad,0,775.4,0,-4.8,0,-1536.7,0,11322.2,1184,0,0,0,0,0,0,-382.8,0,-3728.3,-2874.3,-48.7,-83.2,-4622.8
Gas Distribuido,0,4603.5,-8.1,-73,-198.1,-1986.4,0,-12379.6,-1506.3,33615.6,0,0,0,0,0,-949.2,0,-9361.2,-1464.2,-2468.7,0,-7824.4
Gas De Refineria,0,0,0,0,0,0,-121,0,-75.8,0,1274.5,0,0,0,0,-1078.1,0,0,0,0,0,0
Gas Licuado,0,0,-0.6,-940.1,0,0,0,0,0,1875.3,966.1,0,0,0,0,-28.7,0,-1347.8,-224.6,0,-93.6,-205.9
Gasolina Estabilizada Petroleo Y Gas,0,0,0,-254.2,0,0,41,0,0,1009.5,-796.7,0,0,0,0,0,0,0,0,0,0,0
Otras Naftas,0,27.8,69.7,-666.2,0,0,0,0,0,0,960.6,0,0,0,0,-1.4,-390.5,0,0,0,0,0
Motonaftas,0,11.3,37.6,0,0,0,0,0,0,0,6250,0,0,0,0,0,0,0,0,-6298.9,0,0
Kerosene,0,92.9,-12.9,-939.8,0,0,0,0,0,0,1381.8,0,0,0,0,0,0,-15.9,0,-506,0,0
Gasoil,0,3337.1,-80.6,-100.1,0,0,0,-1929.7,-58.9,0,10160.5,0,0,0,0,-2,0,0,-113.3,-7475.2,-3624.4,-113.3
Fueloil,0,0,36,-824.8,0,0,0,-2860,-111.9,0,4513.8,0,0,0,0,-319,0,0,-60.8,-82.5,-117.2,-173.6
Carbon Residual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Energetico,0,76.5,12.8,-85.9,0,0,0,0,0,931.9,890.6,0,24.6,0,562.6,0,-2413.1,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-10.4,0,0,0,122.8,0,0,-112.4,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-135,0,0,0,0,0,599.3,-464.3,0,0,0,0,0,0
Coque De Carbon,0,0,0,0,0,0,0,0,0,0,908.8,0,614.1,0,-1223,0,-299.9,0,0,0,0,0
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,335.1,0,0,0,-201,-134,0,0,0
Bioetanol,0,0,0,0,0,0,-6,0,0,0,-407.1,413.1,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,-701.5,0,0,0,-38.3,0,0,-864.5,1604.3,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,12193,1447.5,0,1457.1,80.6,57.3,160.4,61.2,0,0,0,0,0,0,0
