formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,3619.1,0,0,0,0,-35.8,0,-3577.2,-6.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,0,1850,0,0,0,0,0,-1849.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,36781.9,4722.7,0,-20.7,-236.2,-942.4,69,0,0,-36229.1,0,0,0,0,0,-4145.5,0,0,0,0,0,0
Petroleo,27886.3,374.9,-116.9,-1943.1,0,0,127,0,0,0,-26223.2,0,0,0,0,-105.5,0,0,0,0,0,0
Carbon Mineral,46.9,1205,42.2,-27.5,0,0,18,-459.1,-12,0,0,0,-806.7,0,0,0,0,0,0,0,0,-7.2
Leña,900.6,0,0,0,0,0,0,0,-222.8,0,0,0,0,-454.6,0,0,0,-89.3,-44.6,0,0,-89.3
Bagazo,787.5,0,0,0,0,0,0,0,-146.8,0,0,0,0,0,0,0,0,0,0,0,0,-640.7
Aceites Vegetales,1887.5,0,0,0,0,0,0,0,0,0,0,-1887.5,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,246.5,0,0,0,0,0,0,0,0,0,0,-246.5,0,0,0,0,0,0,0,0,0,0
Eolica,215.6,0,0,0,0,0,0,-86.5,-0.2,0,0,0,0,0,0,0,0,0,0,0,-128.9,0
Solar,1.3,0,0,0,0,0,0,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,370.8,0,0,0,0,0,0,0,-370.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricidad,0,714.1,0,-21.3,0,-1916.9,0,10725.9,1266,0,0,0,0,0,0,-368.6,0,-3447.6,-2599.6,-53.4,-91.6,-4207.1
Gas Distribuido,0,4740.1,-1.2,-47,-190.7,-1686.5,0,-12011.8,-1810.9,32701.7,0,0,0,0,0,-1022.7,0,-9547.6,-1485.3,-2290,0,-7348.1
Gas De Refineria,0,0,0,0,0,0,-105,0,-80.7,0,1226.1,0,0,0,0,-1040.3,0,0,0,0,0,0
Gas Licuado,0,0,10.1,-893.2,0,0,0,0,0,1601.9,1289.6,0,0,0,0,-30.8,0,-1423.9,-237.3,0,-98.9,-217.5
Gasolina Estabilizada Petroleo Y Gas,0,0,0,-246.5,0,0,0,0,0,1041.5,-821.3,0,0,0,0,0,26.3,0,0,0,0,0
Otras Naftas,0,8.9,3.4,-706.9,0,0,0,0,0,0,861.6,0,0,0,0,-2.1,-165,0,0,0,0,0
Motonaftas,0,284.5,-31.6,-10.7,0,0,0,0,0,0,5716.5,0,0,0,0,0,0,0,0,-5958.7,0,0
Kerosene,0,48.9,-16.5,-933.3,0,0,0,0,0,0,1424.9,0,0,0,0,0,0,-21.4,0,-502.6,0,0
Gasoil,0,4279,57.2,-298.6,0,0,0,-1553.5,-61.2,0,9705.8,0,0,0,0,-2.7,0,0,-121.3,-8003.2,-3880.3,-121.3
Fueloil,0,608.7,-28.4,-1798.9,0,0,0,-2183.8,-74.3,0,4172.3,0,0,0,0,-295.3,0,0,-56,-76.1,-108.1,-160.1
Carbon Residual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Energetico,0,83,-2,-257.5,0,0,0,0,0,884.1,1135.8,0,24.2,0,559.7,0,-2427.4,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-9.6,0,0,0,121,0,0,-111.4,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-133,0,0,0,0,0,596.2,-463.2,0,0,0,0,0,0
Coque De Carbon,0,0,0,0,0,0,0,0,0,0,913.1,0,605,0,-1216.8,0,-301.3,0,0,0,0,0
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,307.4,0,0,0,-184.5,-123,0,0,0
Bioetanol,0,0,0,0,0,0,1,0,0,0,-240.5,239.3,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,-1022.8,0,0,1,-0.9,0,0,-787.3,1810.5,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,10997.9,1662.3,-0.1,1626.5,84.2,56.5,147.1,60.8,0,0,0,0,0,0,0
