formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,2930.5,0,0,0,0,-29,0,-2893.5,-8,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,2186,0,-0.1,0,0,0,0,-2185.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,26246.4,1763.8,0,0,-1066.5,-2730.1,-584.7,0,0,-22431.8,0,0,0,0,0,-1197,0,0,0,0,0,0
Petroleo,37148,516,104.6,-14089.2,0,0,-217.5,0,0,0,-23434.7,0,0,0,0,-27.2,0,0,0,0,0,0
Carbon Mineral,178.4,831,10.4,-21.8,0,0,-61.9,-383.4,-30.4,0,0,0,-441.9,0,0,-49.2,0,0,0,0,0,-31.3
Leña,768.9,0,0,0,0,0,-0.6,0,-28.3,0,0,0,0,-515.6,0,0,0,-180.6,0,0,0,-43.7
Bagazo,714,0,0,0,0,0,0,0,-21.7,0,0,0,0,0,0,0,0,0,0,0,0,-692.3
Aceites Vegetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eolica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,455.4,0,0,0,0,0,0,0,-40.9,0,0,0,0,0,0,0,0,0,0,0,0,-414.5
Electricidad,0,201.4,0,-18.9,0,-920.2,0,5401.6,375,0,0,0,0,0,0,-223.3,0,-1469.6,-1058.6,-30.9,-39.3,-2217.3
Gas Distribuido,0,0,0,0,0,-877.7,0,-5927.9,-477.4,20364.2,0,0,0,0,0,-384.1,0,-4994.9,-972.8,-835.8,0,-5893.7
Gas De Refineria,0,0,0,0,0,0,-45.4,0,-31.5,0,615,0,0,0,0,-538.2,0,0,0,0,0,0
Gas Licuado,0,0,0,-396.3,0,0,-188.7,0,0,1109.7,834.2,0,0,0,0,-4.4,-48.2,-911.4,-148.8,0,-67.7,-178.3
Gasolina Estabilizada Petroleo Y Gas,0,0,0,0,0,0,0,0,0,177.6,0,0,0,0,0,0,-177.6,0,0,0,0,0
Otras Naftas,0,157.4,0,-162.4,0,0,0,0,0,0,612.3,0,0,0,0,0,-607.2,0,0,0,0,0
Motonaftas,0,0,-49.8,-1083,0,0,0,0,0,0,5277.2,0,0,0,0,0,0,0,0,-4144.4,0,0
Kerosene,0,34.8,-1.3,-691.4,0,0,0,0,0,0,1341.1,0,0,0,0,0,0,-323.6,0,-359.5,0,0
Gasoil,0,187.5,-35.9,-855.8,0,0,0,-216.7,-19.1,0,8399.1,0,0,0,0,-9,0,0,-149,-4917.1,-2235.1,-149
Fueloil,0,229.4,-25.9,-670.9,0,0,0,-468,-150,0,2102.1,0,0,0,0,-512.2,0,0,-50.4,-50.4,-75.7,-327.9
Carbon Residual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Energetico,0,96,12,-699,0,0,-300,0,0,780.3,729.2,0,13.3,0,362.5,0,-994.2,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-32.6,0,0,0,66.3,0,0,-33.6,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-149.5,0,0,0,0,0,386.1,-236.6,0,0,0,0,0,0
Coque De Carbon,0,0,173.1,-406.6,0,0,-65.2,0,0,0,905.2,0,331.4,0,-788,0,-149.9,0,0,0,0,0
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,262.3,-46.7,0,0,-129.4,-86.2,0,0,0
Bioetanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,6673.7,614.5,0,2619.4,0,30.9,253.3,86.1,0,0,0,0,0,0,0
