formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,1643.9,0,0,0,0,-16.3,0,-1618.6,-9,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,837,0,0.2,0,0,0,0,-837.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,11610.1,1692,0,0,-398.8,-2832.2,-353.6,0,0,-8842.4,0,0,0,0,0,-875.1,0,0,0,0,0,0
Petroleo,25423.9,2250.8,-434.4,0,0,0,-322.3,0,0,0,-26830.4,0,0,0,0,-87.5,0,0,0,0,0,0
Carbon Mineral,228,627,143.8,0,0,0,-63.8,-220.5,-41.6,0,0,0,-601,0,0,-52.1,0,0,0,0,0,-19.7
Leña,628.1,0,0,0,0,0,-0.6,0,-5.8,0,0,0,0,-426.9,0,0,0,-181.9,0,0,0,-12.9
Bagazo,673,0,0,0,0,0,0,0,-23,0,0,0,0,0,0,0,0,0,0,0,0,-650
Aceites Vegetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eolica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,598.5,0,0,0,0,0,0,0,-44.9,0,0,0,0,0,0,0,0,0,0,0,0,-553.6
Electricidad,0,2,0,-0.6,0,-417.2,0,3067.7,347,0,0,0,0,0,0,-121.8,0,-762.1,-515.9,-22.5,-40.9,-1535.7
Gas Distribuido,0,0,0,0,0,-331.1,0,-1910.4,-269.7,8197.8,0,0,0,0,0,-280.8,0,-1791.1,-595.9,0,0,-3018.7
Gas De Refineria,0,0,0,0,0,0,-50.8,0,-63.9,0,475.9,0,0,0,0,-361.1,0,0,0,0,0,0
Gas Licuado,0,0,33.1,0,0,0,367.1,0,0,354.6,432.5,0,0,0,0,-10,-31.9,-945.1,-100.5,0,-28.7,-71.1
Gasolina Estabilizada Petroleo Y Gas,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,-90,0,0,0,0,0
Otras Naftas,0,0,0,0,0,0,0,0,0,0,449.1,0,0,0,0,0,-449.1,0,0,0,0,0
Motonaftas,0,310.9,-55.6,0,0,0,0,0,0,0,5058,0,0,0,0,0,0,0,0,-5313.3,0,0
Kerosene,0,84.3,-31.1,-561.7,0,0,0,0,0,0,1423.5,0,0,0,0,0,0,-612.5,0,-302.5,0,0
Gasoil,0,13,-130.5,-473.3,0,0,0,-711.7,-99.1,0,6500.5,0,0,0,0,-9.9,0,0,-305.3,-3358.7,-1221.3,-203.6
Fueloil,0,0,74.1,-1515.3,0,0,0,-2335.8,-570.5,0,7532.6,0,0,0,0,-1026.9,0,-215.8,-107.9,-431.7,0,-1402.9
Carbon Residual,0,0,-166.9,-236.6,0,0,66.4,0,0,0,637.1,0,-29.1,0,0,-90.3,0,0,0,0,0,-180.6
No Energetico,0,21,-8,-16,0,0,0,0,0,200,1610.1,0,35.6,0,169.4,0,-2012.1,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-13.9,0,0,0,127.6,0,0,-113.7,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-46.6,0,0,0,0,0,180.4,-133.8,0,0,0,0,0,0
Coque De Carbon,0,46.7,-26.2,2.8,0,0,0,0,0,0,0,0,379.6,0,-368.3,0,0,0,0,0,0,-34.6
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,259.5,-108.3,0,0,-90.7,-60.5,0,0,0
Bioetanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,4566.7,841.1,0,2711.1,0,87.3,167.4,126.7,0,0,0,0,0,0,0
