formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,3283,0,0,0,0,-33,0,-3248,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,0,2224,0,0,0,0,0,-2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,39557,4787,0,0,-29,-948,-484,0,0,-38125,0,0,0,0,0,-4757,0,0,0,0,0,0
Petroleo,26440,790,64,-2332,0,0,629,0,0,0,-25501,0,0,0,0,-90,0,0,0,0,0,0
Carbon Mineral,14,1154,11,-7,0,0,-124,-393,-12,0,0,0,-617,0,0,0,0,0,0,0,0,-26
Leña,834,0,0,0,0,0,0,0,-181,0,0,0,0,-445,0,0,0,-84,-42,0,0,-84
Bagazo,830,0,0,0,0,0,0,0,-104,0,0,0,0,0,0,0,0,0,0,0,0,-726
Aceites Vegetales,2467,0,0,0,0,0,0,0,0,0,0,-2467,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,464,0,0,0,0,0,0,0,0,0,0,-464,0,0,0,0,0,0,0,0,0,0
Eolica,176,0,0,0,0,0,0,-47,0,0,0,0,0,0,0,0,0,0,0,0,-129,0
Solar,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,292,0,0,0,0,0,0,0,-292,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricidad,0,847,0,-28,0,-1757,0,11480,1179,0,0,0,0,0,0,-375,0,-3851,-2945,-47,-79,-4424
Gas Distribuido,0,4357,-8,-50,-107,-1843,-513,-13282,-1560,34422,0,0,0,0,0,-729,0,-9898,-1136,-2346,0,-7306
Gas De Refineria,0,0,0,0,0,0,-71,0,-51,0,1234,0,0,0,0,-1111,0,0,0,0,0,0
Gas Licuado,0,0,30,-967,0,0,0,0,0,1691,1174,0,0,0,0,-29,0,-1366,-228,0,-95,-209
Gasolina Estabilizada Petroleo Y Gas,0,0,0,-213,0,0,36,0,0,946,-768,0,0,0,0,0,0,0,0,0,0,0
Otras Naftas,0,77,-24,-502,0,0,0,0,0,0,811,0,0,0,0,0,-361,0,0,0,0,0
Motonaftas,0,185,-62,0,0,0,0,0,0,0,6334,0,0,0,0,0,0,0,0,-6457,0,0
Kerosene,0,127,6,-973,0,0,0,0,0,0,1378,0,0,0,0,0,0,-15,0,-523,0,0
Gasoil,0,3603,-8,-75,0,0,0,-2051,-52,0,9849,0,0,0,0,-3,0,0,-113,-7434,-3604,-113
Fueloil,0,0,54,-641,0,0,0,-2598,-138,0,3844,0,0,0,0,-319,0,0,-29,-39,-55,-81
Carbon Residual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Energetico,0,68,11,-135,0,0,0,0,0,1067,834,0,19,0,508,0,-2370,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-10,0,0,0,93,0,0,-82,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-140,0,0,0,0,0,541,-401,0,0,0,0,0,0
Coque De Carbon,0,0,0,0,0,0,0,0,0,0,956,0,463,0,-1103,0,-316,0,0,0,0,0
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,-181,-120,0,0,0
Bioetanol,0,0,0,0,0,0,11,0,0,0,-461,451,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,-1447,0,0,3,0,0,0,-922,2367,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,12364,1363,0,1240,114,43,144,55,0,0,0,0,0,0,0
