formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,2353.1,0,0,0,0,-23.3,0,-2321.8,-8,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,2090,0,0.2,0,0,0,0,-2090.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,36579.2,0,0,-817.4,-2022.5,-755.2,91.7,0,0,-30171.7,0,0,0,0,0,-2904.1,0,0,0,0,0,0
Petroleo,41392,967.5,58.1,-13894.2,0,0,13.2,0,0,0,-28520.7,0,0,0,0,-15.9,0,0,0,0,0,0
Carbon Mineral,196.3,669,9.4,0,0,0,2.3,-292.5,-30.4,0,0,0,-509.5,0,0,-12.3,0,0,0,0,0,-32.3
Leña,644.1,0,0,0,0,0,0.6,0,-34.7,0,0,0,0,-345.2,0,0,0,-218.6,0,0,0,-46.3
Bagazo,832,0,0,0,0,0,0,0,-35.1,0,0,0,0,0,0,0,0,0,0,0,0,-796.9
Aceites Vegetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eolica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,530.7,0,0,0,0,0,0,0,-75.8,0,0,0,0,0,0,0,0,0,0,0,0,-454.9
Electricidad,0,553.3,0,-92.9,0,-1017.9,0,6292.6,651.5,0,0,0,0,0,0,-254.9,0,-1790.8,-1478.1,-44.5,-45.9,-2772.4
Gas Distribuido,0,0,0,-1687.4,0,-1071.8,0,-8864.4,-769.9,27343.8,0,0,0,0,0,-822.5,0,-5701.3,-1112.2,-1252.5,0,-6061.8
Gas De Refineria,0,0,0,0,0,0,-220.5,0,-46.8,0,820.9,0,0,0,0,-553.6,0,0,0,0,0,0
Gas Licuado,0,0,-3.6,-837.8,0,0,-143.5,0,0,1392,1152.7,0,0,0,0,-2.2,-89.9,-1033.1,-186.4,0,-78.1,-170.1
Gasolina Estabilizada Petroleo Y Gas,0,0,0,0,0,0,0,0,0,849.8,-671,0,0,0,0,0,-178.8,0,0,0,0,0
Otras Naftas,0,25.6,0,-1040.5,0,0,0,0,0,0,1512.6,0,0,0,0,0,-497.7,0,0,0,0,0
Motonaftas,0,85.9,29.8,-1851.3,0,0,0,0,0,0,5794.3,0,0,0,0,0,0,0,0,-4058.7,0,0
Kerosene,0,4.2,17.3,-820.3,0,0,0,0,0,0,1350,0,0,0,0,0,0,-110.4,0,-440.8,0,0
Gasoil,0,0,39.9,-1586.1,0,0,0,-123.6,-26.1,0,10965.2,0,0,0,0,-13.1,0,0,-185.1,-6109.1,-2776.9,-185.1
Fueloil,0,214.5,72.9,-529.4,0,0,449.2,-821,-37,0,1567.1,0,0,0,0,-309.4,0,0,-60.7,-60.7,-91,-394.4
Carbon Residual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Energetico,0,174,-17,-259,0,0,-200,0,0,586,833,0,15.3,0,573.2,0,-1705.5,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-58.1,0,0,0,76.4,0,0,-18.3,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-85.9,0,0,0,0,0,610.5,-524.6,0,0,0,0,0,0
Coque De Carbon,0,2.8,12.4,57.9,0,0,-100.1,0,0,0,1121.1,0,382.1,0,-1246,0,-230.3,0,0,0,0,0
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,245.5,0,0,0,-147.3,-98.2,0,0,0
Bioetanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,8221,556.4,0,4074.9,0,35.7,99.7,62.3,0,0,0,0,0,0,0
