formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,1660.1,0,0,0,0,-16.4,0,-1631.7,-12,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,1711,0,-0.2,0,0,0,0,-1710.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,19601.3,1849.7,0,0,-480.7,-2545.3,-502.4,0,0,-16951.7,0,0,0,0,0,-970.8,0,0,0,0,0,0
Petroleo,23249.2,0,-395.2,-412.6,0,0,-205.7,0,0,0,-22194.5,0,0,0,0,-41.2,0,0,0,0,0,0
Carbon Mineral,299.4,827,-52.1,0,0,0,-2.5,-243.6,-29.7,0,0,0,-725,0,0,-56.3,0,0,0,0,0,-17.2
Leña,619.7,0,0,0,0,0,0,0,-32.1,0,0,0,0,-383.8,0,0,0,-203.8,0,0,0,0
Bagazo,552,0,0,0,0,0,0,0,-34,0,0,0,0,0,0,0,0,0,0,0,0,-518
Aceites Vegetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eolica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,650.4,0,0,0,0,0,0,0,-22.9,0,0,0,0,0,0,0,0,0,0,0,0,-627.4
Electricidad,0,71.5,0,-1,0,-757.2,0,4126.6,388.4,0,0,0,0,0,0,-207.5,0,-957.2,-656.2,-28.5,-32.9,-1945.9
Gas Distribuido,0,0,0,0,0,-723.1,0,-4096.6,-370.2,15208.2,0,0,0,0,0,-311.5,0,-3488.5,-1740.5,-73.9,0,-4404
Gas De Refineria,0,0,0,0,0,0,-29.6,0,-39.6,0,508.2,0,0,0,0,-439,0,0,0,0,0,0
Gas Licuado,0,0,-30.1,-51.4,0,0,-16.2,0,0,863.5,449.1,0,0,0,0,-7.7,0,-919.1,-138.5,0,-49.5,-100.2
Gasolina Estabilizada Petroleo Y Gas,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,-80,0,0,0,0,0
Otras Naftas,0,0,0,0,0,0,0,0,0,0,462.7,0,0,0,0,0,-462.7,0,0,0,0,0
Motonaftas,0,0,-24,-504.7,0,0,0,0,0,0,3988.5,0,0,0,0,0,0,0,0,-3459.8,0,0
Kerosene,0,161,-41.2,-552.2,0,0,0,0,0,0,1118.9,0,0,0,0,0,0,-389.3,0,-297.3,0,0
Gasoil,0,444.4,-65.2,-803.4,0,0,0,-313.5,-56.5,0,7126,0,0,0,0,-5.5,0,0,-379.6,-4175.3,-1581.6,-189.8
Fueloil,0,862.7,188.9,-780.9,0,0,0,-2444.5,-334.3,0,4348.1,0,0,0,0,-830.6,0,-100.9,-50.5,-201.8,0,-656
Carbon Residual,0,0,-31.4,-57.9,0,0,32.7,0,0,0,833.5,0,-447,0,0,-110.9,0,0,0,0,0,-218.9
No Energetico,0,86,34,-138,0,0,-400,0,0,800,1164.7,0,36.7,0,363.5,0,-1946.9,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-110.4,0,0,0,171,0,0,-60.6,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-95.5,0,0,0,0,0,387.2,-291.7,0,0,0,0,0,0
Coque De Carbon,0,0,6.4,106,0,0,0,0,0,0,0,0,773.3,0,-790.2,0,0,0,0,0,0,-95.4
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,234.3,-104.5,0,0,-77.8,-51.9,0,0,0
Bioetanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,6314.2,749,0,2194.8,0,191,149.5,144,0,0,0,0,0,0,0
