formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,1999.8,0,0,0,0,-19.8,0,-1971,-9,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,1210,0,-0.2,0,0,0,0,-1209.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,14813.1,1848.5,0,0,-870.5,-2615.5,-484.6,0,0,-11733.8,0,0,0,0,0,-957.3,0,0,0,0,0,0
Petroleo,25342,0,-191.1,0,0,0,-133.8,0,0,0,-24898.4,0,0,0,0,-118.7,0,0,0,0,0,0
Carbon Mineral,284.5,345,79.2,-20,0,0,115.4,-212.2,-39.7,0,0,0,-482.3,0,0,-52.1,0,0,0,0,0,-17.8
Leña,588.2,0,0,0,0,0,-0.6,0,-10.3,0,0,0,0,-331.7,0,0,0,-245.6,0,0,0,0
Bagazo,578,0,0,0,0,0,0,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,-548
Aceites Vegetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eolica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,738.2,0,0,0,0,0,0,0,-77.8,0,0,0,0,0,0,0,0,0,0,0,0,-660.3
Electricidad,0,0,0,-0.5,0,-517,0,3345.7,352.6,0,0,0,0,0,0,-126.5,0,-775.7,-568,-24,-31.4,-1655.1
Gas Distribuido,0,0,0,0,0,-481,0,-2574.8,-223.5,10550.9,0,0,0,0,0,-307.2,0,-2569.7,-741.2,0,0,-3653.7
Gas De Refineria,0,0,0,0,0,0,-66.8,0,-60.3,0,499.2,0,0,0,0,-372.1,0,0,0,0,0,0
Gas Licuado,0,0,-37.2,-26.6,0,0,-79.6,0,0,802.9,487.6,0,0,0,0,-11.2,-2.9,-920.9,-109.2,0,-36.5,-66.4
Gasolina Estabilizada Petroleo Y Gas,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,-80,0,0,0,0,0
Otras Naftas,0,0,0,0,0,0,0,0,0,0,522.3,0,0,0,0,0,-522.3,0,0,0,0,0
Motonaftas,0,0,-56.3,-11.1,0,0,0,0,0,0,4501.7,0,0,0,0,0,0,0,0,-4434.3,0,0
Kerosene,0,76.7,5.9,-464.7,0,0,0,0,0,0,1177.8,0,0,0,0,0,0,-546.8,0,-249,0,0
Gasoil,0,0,29.6,-520.8,0,0,0,-603.5,-87.8,0,6706.4,0,0,0,0,-5.4,0,0,-331.1,-3642.1,-1324.4,-220.7
Fueloil,0,0,64.8,-1792.3,0,0,0,-1483.8,-484.4,0,6055.3,0,0,0,0,-698.1,0,-166.2,-83.1,-332.3,0,-1080
Carbon Residual,0,0,345.6,-476.1,0,0,22.5,0,0,0,733.3,0,-158,0,0,-94.2,0,0,0,0,0,-373.1
No Energetico,0,58,0,-145,0,0,0,0,0,300,1316.3,0,25.1,0,170.7,0,-1725.2,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-7.2,0,0,0,99.4,0,0,-92.2,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-97.7,0,0,0,0,0,181.8,-84.1,0,0,0,0,0,0
Coque De Carbon,0,24,4.2,0,0,0,0,0,0,0,0,0,380.3,0,-371.1,0,0,0,0,0,0,-37.5
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,202.5,-105.5,0,0,-58.2,-38.8,0,0,0
Bioetanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,4709.4,775,0,2898.5,0,135.5,129.2,124,0,0,0,0,0,0,0
