formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,3820.1,0,0,0,0,-37.8,0,-3772.5,-9.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,0,2282,0,0,0,0,0,-2281.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,42626,1405.9,0,-249.6,-954.3,-772.1,-281,0,0,-37432.1,0,0,0,0,0,-4342.4,0,0,0,0,0,0
Petroleo,31178.5,0,-838.8,-4704.9,0,0,367,0,0,0,-25953,0,0,0,0,-49.2,0,0,0,0,0,0
Carbon Mineral,44.7,888.9,45.9,-37.2,0,0,-115,-386,-14.7,0,0,0,-420,0,0,0,0,0,0,0,0,-5.8
Leña,767.3,0,0,0,0,0,0,0,-144,0,0,0,0,-392.1,0,0,0,-92.5,-46.3,0,0,-92.5
Bagazo,930,0,0,0,0,0,0,0,-141.3,0,0,0,0,0,0,0,0,0,0,0,0,-788.7
Aceites Vegetales,1060.3,0,0,0,0,0,0,0,0,0,0,-1060.3,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,12.2,0,0,0,0,0,0,0,0,0,0,-12.2,0,0,0,0,0,0,0,0,0,0
Eolica,132.1,0,0,0,0,0,0,-3.2,0,0,0,0,0,0,0,0,0,0,0,0,-128.9,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,304.5,0,0,0,0,0,0,0,-304.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricidad,0,739.6,0,-210.2,0,-1634.5,0,9277,1243.1,0,0,0,0,0,0,-356.5,0,-2779.8,-2324.9,-56.9,-70.7,-3826.1
Gas Distribuido,0,648.2,-30.7,-509.9,-95.1,-1692.9,0,-10328.1,-1840.3,32858.4,0,0,0,0,0,-1063.6,0,-7585.1,-1394.9,-2185.3,0,-6780.7
Gas De Refineria,0,0,0,0,0,0,-103,0,-96.2,0,1012.8,0,0,0,0,-813.9,0,0,0,0,0,0
Gas Licuado,0,0,-163.6,-1693.2,0,0,0,0,0,2010.4,1300.4,0,0,0,0,-15.4,0,-1035.8,-172.6,0,-71.9,-158.2
Gasolina Estabilizada Petroleo Y Gas,0,0,0,-190.2,0,0,0,0,0,1327.3,-879.4,0,0,0,0,0,-257.8,0,0,0,0,0
Otras Naftas,0,67.4,0,-1844.6,0,0,0,0,0,0,2076.3,0,0,0,0,0,-299.2,0,0,0,0,0
Motonaftas,0,0,-406.6,-60.4,0,0,0,0,0,0,4521.6,0,0,0,0,0,0,0,0,-4054.6,0,0
Kerosene,0,18.8,-83.4,-808.6,0,0,0,0,0,0,1320.2,0,0,0,0,0,0,-11.6,0,-435.4,0,0
Gasoil,0,1665.9,-500.8,-216.8,0,0,0,-884.4,-48.2,0,10320.1,0,0,0,0,0,0,0,-103.4,-6821.7,-3307.5,-103.4
Fueloil,0,694.7,-175.2,-1469.4,0,0,0,-1566,-67.5,0,3154.6,0,0,0,0,-395.7,0,0,-24.6,-33.3,-47.4,-70.2
Carbon Residual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Energetico,0,17.8,-169,-45.2,0,0,0,0,0,1235.5,1105.5,0,12.6,0,441,0,-2598.1,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-9.6,0,0,0,63,0,0,-53.5,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-146.6,0,0,0,0,0,469.8,-323.2,0,0,0,0,0,0
Coque De Carbon,0,0,0,0,0,0,0,0,0,0,960.7,0,315,0,-958.7,0,-317,0,0,0,0,0
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,265.2,0,0,0,-159.1,-106.1,0,0,0
Bioetanol,0,0,0,0,0,0,-10,0,0,0,-1.3,11.8,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,-1016.6,0,0,0,0,0,0,-0.4,1017,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,9944.8,1579.5,0.5,1061.9,43.6,29.4,126.9,47.9,0,0,0,0,0,0,0
