ano,forma_de_energia,concepto,ktep_redond
1971,Coque de Carbón,Consumo,-85.5
1972,Coque de Carbón,Consumo,-85.5
1973,Coque de Carbón,Consumo,-127.9
1974,Coque de Carbón,Consumo,-82
1975,Coque de Carbón,Consumo,-72.8
1976,Coque de Carbón,Consumo,-66.4
1977,Coque de Carbón,Consumo,-66.4
1978,Coque de Carbón,Consumo,-161.2
1979,Coque de Carbón,Consumo,-70.7
1980,Coque de Carbón,Consumo,-34.6
1981,Coque de Carbón,Consumo,-4.9
1982,Coque de Carbón,Consumo,-58
1983,Coque de Carbón,Consumo,-37.5
1984,Coque de Carbón,Consumo,-62.2
1985,Coque de Carbón,Consumo,-44.5
1986,Coque de Carbón,Consumo,-68.6
1987,Coque de Carbón,Consumo,-70
1988,Coque de Carbón,Consumo,-95.4
1989,Coque de Carbón,Consumo,-152
1990,Coque de Carbón,Consumo,-141.4
1991,Coque de Carbón,Consumo,-106
1992,Coque de Carbón,Consumo,-84.8
1993,Coque de Carbón,Consumo,0
1994,Coque de Carbón,Consumo,0
1995,Coque de Carbón,Consumo,0
1996,Coque de Carbón,Consumo,0
1997,Coque de Carbón,Consumo,0
1998,Coque de Carbón,Consumo,0
1999,Coque de Carbón,Consumo,0
2000,Coque de Carbón,Consumo,0
2001,Coque de Carbón,Consumo,0
2002,Coque de Carbón,Consumo,0
2003,Coque de Carbón,Consumo,0
2004,Coque de Carbón,Consumo,0
2005,Coque de Carbón,Consumo,0
2006,Coque de Carbón,Consumo,0
2007,Coque de Carbón,Consumo,0
2008,Coque de Carbón,Consumo,0
2009,Coque de Carbón,Consumo,0
2010,Coque de Carbón,Consumo,0
2011,Coque de Carbón,Consumo,0
2012,Coque de Carbón,Consumo,0
2013,Coque de Carbón,Consumo,0
2014,Coque de Carbón,Consumo,0
2015,Coque de Carbón,Consumo,0
1960,Carbón Vegetal,Oferta,0
1961,Carbón Vegetal,Oferta,0
1962,Carbón Vegetal,Oferta,0
1963,Carbón Vegetal,Oferta,0
1964,Carbón Vegetal,Oferta,0
1965,Carbón Vegetal,Oferta,0
1966,Carbón Vegetal,Oferta,0
1967,Carbón Vegetal,Oferta,0
1968,Carbón Vegetal,Oferta,0
1969,Carbón Vegetal,Oferta,0
1970,Carbón Vegetal,Oferta,0
1971,Carbón Vegetal,Oferta,0
1972,Carbón Vegetal,Oferta,0
1973,Carbón Vegetal,Oferta,0
1974,Carbón Vegetal,Oferta,0
1975,Carbón Vegetal,Oferta,0
1976,Carbón Vegetal,Oferta,0
1977,Carbón Vegetal,Oferta,0
1978,Carbón Vegetal,Oferta,0
1979,Carbón Vegetal,Oferta,0
1980,Carbón Vegetal,Oferta,0
1981,Carbón Vegetal,Oferta,0
1982,Carbón Vegetal,Oferta,0
1983,Carbón Vegetal,Oferta,0
1984,Carbón Vegetal,Oferta,0
1985,Carbón Vegetal,Oferta,0
1986,Carbón Vegetal,Oferta,0
1987,Carbón Vegetal,Oferta,0
1988,Carbón Vegetal,Oferta,0
1989,Carbón Vegetal,Oferta,0
1990,Carbón Vegetal,Oferta,0
1991,Carbón Vegetal,Oferta,0
1992,Carbón Vegetal,Oferta,0
1993,Carbón Vegetal,Oferta,0
1994,Carbón Vegetal,Oferta,0
1995,Carbón Vegetal,Oferta,0
1996,Carbón Vegetal,Oferta,0
1997,Carbón Vegetal,Oferta,0
1998,Carbón Vegetal,Oferta,0
1999,Carbón Vegetal,Oferta,0
2000,Carbón Vegetal,Oferta,0
2001,Carbón Vegetal,Oferta,0
2002,Carbón Vegetal,Oferta,0
2003,Carbón Vegetal,Oferta,0
2004,Carbón Vegetal,Oferta,0
2005,Carbón Vegetal,Oferta,0
2006,Carbón Vegetal,Oferta,0
2007,Carbón Vegetal,Oferta,0
2008,Carbón Vegetal,Oferta,0
2009,Carbón Vegetal,Oferta,0
2010,Carbón Vegetal,Oferta,0
2011,Carbón Vegetal,Oferta,0
2012,Carbón Vegetal,Oferta,0
2013,Carbón Vegetal,Oferta,0
2014,Carbón Vegetal,Oferta,0
2015,Carbón Vegetal,Oferta,0
1960,Carbón Vegetal,Transformacion,259.5
1961,Carbón Vegetal,Transformacion,260.1
1962,Carbón Vegetal,Transformacion,243.6
1963,Carbón Vegetal,Transformacion,251.1
1964,Carbón Vegetal,Transformacion,226.8
1965,Carbón Vegetal,Transformacion,245.8
1966,Carbón Vegetal,Transformacion,250.1
1967,Carbón Vegetal,Transformacion,260.7
1968,Carbón Vegetal,Transformacion,244.8
1969,Carbón Vegetal,Transformacion,247.6
1970,Carbón Vegetal,Transformacion,255.7
1971,Carbón Vegetal,Transformacion,233.3
1972,Carbón Vegetal,Transformacion,194.8
1973,Carbón Vegetal,Transformacion,207.5
1974,Carbón Vegetal,Transformacion,189.2
1975,Carbón Vegetal,Transformacion,168
1976,Carbón Vegetal,Transformacion,81.8
1977,Carbón Vegetal,Transformacion,134.4
1978,Carbón Vegetal,Transformacion,149.6
1979,Carbón Vegetal,Transformacion,180.8
1980,Carbón Vegetal,Transformacion,151.2
1981,Carbón Vegetal,Transformacion,89.6
1982,Carbón Vegetal,Transformacion,54.1
1983,Carbón Vegetal,Transformacion,97.1
1984,Carbón Vegetal,Transformacion,52.3
1985,Carbón Vegetal,Transformacion,56
1986,Carbón Vegetal,Transformacion,24.3
1987,Carbón Vegetal,Transformacion,46.7
1988,Carbón Vegetal,Transformacion,129.7
1989,Carbón Vegetal,Transformacion,98
1990,Carbón Vegetal,Transformacion,94.3
1991,Carbón Vegetal,Transformacion,116.7
1992,Carbón Vegetal,Transformacion,164.3
1993,Carbón Vegetal,Transformacion,198.8
1994,Carbón Vegetal,Transformacion,180.1
1995,Carbón Vegetal,Transformacion,215.6
1996,Carbón Vegetal,Transformacion,210
1997,Carbón Vegetal,Transformacion,156.8
1998,Carbón Vegetal,Transformacion,166.1
1999,Carbón Vegetal,Transformacion,245.5
2000,Carbón Vegetal,Transformacion,203.5
2001,Carbón Vegetal,Transformacion,210.9
2002,Carbón Vegetal,Transformacion,214.7
2003,Carbón Vegetal,Transformacion,222.1
2004,Carbón Vegetal,Transformacion,228.3
2005,Carbón Vegetal,Transformacion,242.3
2006,Carbón Vegetal,Transformacion,242.3
2007,Carbón Vegetal,Transformacion,237.1
2008,Carbón Vegetal,Transformacion,252.9
2009,Carbón Vegetal,Transformacion,265.2
2010,Carbón Vegetal,Transformacion,262.8
2011,Carbón Vegetal,Transformacion,283.9
2012,Carbón Vegetal,Transformacion,252.9
2013,Carbón Vegetal,Transformacion,307.4
2014,Carbón Vegetal,Transformacion,321
2015,Carbón Vegetal,Transformacion,335.1
1960,Carbón Vegetal,Consumo,-259.5
1961,Carbón Vegetal,Consumo,-260.1
1962,Carbón Vegetal,Consumo,-243.6
1963,Carbón Vegetal,Consumo,-251.1
1964,Carbón Vegetal,Consumo,-226.8
1965,Carbón Vegetal,Consumo,-245.8
1966,Carbón Vegetal,Consumo,-250.1
1967,Carbón Vegetal,Consumo,-260.7
1968,Carbón Vegetal,Consumo,-244.8
1969,Carbón Vegetal,Consumo,-247.6
1970,Carbón Vegetal,Consumo,-255.7
1971,Carbón Vegetal,Consumo,-233.3
1972,Carbón Vegetal,Consumo,-194.8
1973,Carbón Vegetal,Consumo,-207.5
1974,Carbón Vegetal,Consumo,-189.2
1975,Carbón Vegetal,Consumo,-168
1976,Carbón Vegetal,Consumo,-81.8
1977,Carbón Vegetal,Consumo,-134.4
1978,Carbón Vegetal,Consumo,-149.6
1979,Carbón Vegetal,Consumo,-180.8
1980,Carbón Vegetal,Consumo,-151.2
1981,Carbón Vegetal,Consumo,-89.6
1982,Carbón Vegetal,Consumo,-54.1
1983,Carbón Vegetal,Consumo,-97.1
1984,Carbón Vegetal,Consumo,-52.3
1985,Carbón Vegetal,Consumo,-56
1986,Carbón Vegetal,Consumo,-24.3
1987,Carbón Vegetal,Consumo,-46.7
1988,Carbón Vegetal,Consumo,-129.7
1989,Carbón Vegetal,Consumo,-98
1990,Carbón Vegetal,Consumo,-94.3
1991,Carbón Vegetal,Consumo,-116.7
1992,Carbón Vegetal,Consumo,-164.3
1993,Carbón Vegetal,Consumo,-198.8
1994,Carbón Vegetal,Consumo,-180.1
1995,Carbón Vegetal,Consumo,-215.6
1996,Carbón Vegetal,Consumo,-210
1997,Carbón Vegetal,Consumo,-156.8
1998,Carbón Vegetal,Consumo,-166.1
1999,Carbón Vegetal,Consumo,-245.5
2000,Carbón Vegetal,Consumo,-203.5
2001,Carbón Vegetal,Consumo,-210.9
2002,Carbón Vegetal,Consumo,-214.7
2003,Carbón Vegetal,Consumo,-222.1
2004,Carbón Vegetal,Consumo,-228.3
2005,Carbón Vegetal,Consumo,-242.3
2006,Carbón Vegetal,Consumo,-242.3
2007,Carbón Vegetal,Consumo,-237.1
2008,Carbón Vegetal,Consumo,-252.9
2009,Carbón Vegetal,Consumo,-265.2
2010,Carbón Vegetal,Consumo,-262.8
2011,Carbón Vegetal,Consumo,-283.9
2012,Carbón Vegetal,Consumo,-252.9
2013,Carbón Vegetal,Consumo,-307.4
2014,Carbón Vegetal,Consumo,-321
2015,Carbón Vegetal,Consumo,-335.1
1960,Bioetanol,Oferta,0
1961,Bioetanol,Oferta,0
1962,Bioetanol,Oferta,0
1963,Bioetanol,Oferta,0
1964,Bioetanol,Oferta,0
1965,Bioetanol,Oferta,0
1966,Bioetanol,Oferta,0
1967,Bioetanol,Oferta,0
1968,Bioetanol,Oferta,0
1969,Bioetanol,Oferta,0
1970,Bioetanol,Oferta,0
1971,Bioetanol,Oferta,0
1972,Bioetanol,Oferta,0
1973,Bioetanol,Oferta,0
1974,Bioetanol,Oferta,0
1975,Bioetanol,Oferta,0
1976,Bioetanol,Oferta,0
1977,Bioetanol,Oferta,0
1978,Bioetanol,Oferta,0
1979,Bioetanol,Oferta,0
1980,Bioetanol,Oferta,0
1981,Bioetanol,Oferta,0
1982,Bioetanol,Oferta,0
1983,Bioetanol,Oferta,0
1984,Bioetanol,Oferta,0
1985,Bioetanol,Oferta,0
1986,Bioetanol,Oferta,0
1987,Bioetanol,Oferta,0
1988,Bioetanol,Oferta,0
1989,Bioetanol,Oferta,0
1990,Bioetanol,Oferta,0
1991,Bioetanol,Oferta,0
1992,Bioetanol,Oferta,0
1993,Bioetanol,Oferta,0
1994,Bioetanol,Oferta,0
1995,Bioetanol,Oferta,0
1996,Bioetanol,Oferta,0
1997,Bioetanol,Oferta,0
1998,Bioetanol,Oferta,0
1999,Bioetanol,Oferta,0
2000,Bioetanol,Oferta,0
2001,Bioetanol,Oferta,0
2002,Bioetanol,Oferta,0
2003,Bioetanol,Oferta,0
2004,Bioetanol,Oferta,0
2005,Bioetanol,Oferta,0
2006,Bioetanol,Oferta,0
2007,Bioetanol,Oferta,0
2008,Bioetanol,Oferta,0
2009,Bioetanol,Oferta,-10.5
2010,Bioetanol,Oferta,-3.6
2011,Bioetanol,Oferta,-4.2
2012,Bioetanol,Oferta,-6.4
2013,Bioetanol,Oferta,1.2
2014,Bioetanol,Oferta,-4.1
2015,Bioetanol,Oferta,-6
1960,Bioetanol,Transformacion,0
1961,Bioetanol,Transformacion,0
1962,Bioetanol,Transformacion,0
1963,Bioetanol,Transformacion,0
1964,Bioetanol,Transformacion,0
1965,Bioetanol,Transformacion,0
1966,Bioetanol,Transformacion,0
1967,Bioetanol,Transformacion,0
1968,Bioetanol,Transformacion,0
1969,Bioetanol,Transformacion,0
1970,Bioetanol,Transformacion,0
1971,Bioetanol,Transformacion,0
1972,Bioetanol,Transformacion,0
1973,Bioetanol,Transformacion,0
1974,Bioetanol,Transformacion,0
1975,Bioetanol,Transformacion,0
1976,Bioetanol,Transformacion,0
1977,Bioetanol,Transformacion,0
1978,Bioetanol,Transformacion,0
1979,Bioetanol,Transformacion,0
1980,Bioetanol,Transformacion,0
1981,Bioetanol,Transformacion,0
1982,Bioetanol,Transformacion,0
1983,Bioetanol,Transformacion,0
1984,Bioetanol,Transformacion,0
1985,Bioetanol,Transformacion,0
1986,Bioetanol,Transformacion,0
1987,Bioetanol,Transformacion,0
1988,Bioetanol,Transformacion,0
1989,Bioetanol,Transformacion,0
1990,Bioetanol,Transformacion,0
1991,Bioetanol,Transformacion,0
1992,Bioetanol,Transformacion,0
1993,Bioetanol,Transformacion,0
1994,Bioetanol,Transformacion,0
1995,Bioetanol,Transformacion,0
1996,Bioetanol,Transformacion,0
1997,Bioetanol,Transformacion,0
1998,Bioetanol,Transformacion,0
1999,Bioetanol,Transformacion,0
2000,Bioetanol,Transformacion,0
2001,Bioetanol,Transformacion,0
2002,Bioetanol,Transformacion,0
2003,Bioetanol,Transformacion,0
2004,Bioetanol,Transformacion,0
2005,Bioetanol,Transformacion,0
2006,Bioetanol,Transformacion,0
2007,Bioetanol,Transformacion,0
2008,Bioetanol,Transformacion,0
2009,Bioetanol,Transformacion,10.5
2010,Bioetanol,Transformacion,3.6
2011,Bioetanol,Transformacion,4.2
2012,Bioetanol,Transformacion,6.4
2013,Bioetanol,Transformacion,-1.2
2014,Bioetanol,Transformacion,4.1
2015,Bioetanol,Transformacion,6
1960,Bioetanol,Consumo,0
1961,Bioetanol,Consumo,0
1962,Bioetanol,Consumo,0
1963,Bioetanol,Consumo,0
1964,Bioetanol,Consumo,0
1965,Bioetanol,Consumo,0
1966,Bioetanol,Consumo,0
1967,Bioetanol,Consumo,0
1968,Bioetanol,Consumo,0
1969,Bioetanol,Consumo,0
1970,Bioetanol,Consumo,0
1971,Bioetanol,Consumo,0
1972,Bioetanol,Consumo,0
1973,Bioetanol,Consumo,0
1974,Bioetanol,Consumo,0
1975,Bioetanol,Consumo,0
1976,Bioetanol,Consumo,0
1977,Bioetanol,Consumo,0
1978,Bioetanol,Consumo,0
1979,Bioetanol,Consumo,0
1980,Bioetanol,Consumo,0
1981,Bioetanol,Consumo,0
1982,Bioetanol,Consumo,0
1983,Bioetanol,Consumo,0
1984,Bioetanol,Consumo,0
1985,Bioetanol,Consumo,0
1986,Bioetanol,Consumo,0
1987,Bioetanol,Consumo,0
1988,Bioetanol,Consumo,0
1989,Bioetanol,Consumo,0
1990,Bioetanol,Consumo,0
1991,Bioetanol,Consumo,0
1992,Bioetanol,Consumo,0
1993,Bioetanol,Consumo,0
1994,Bioetanol,Consumo,0
1995,Bioetanol,Consumo,0
1996,Bioetanol,Consumo,0
1997,Bioetanol,Consumo,0
1998,Bioetanol,Consumo,0
1999,Bioetanol,Consumo,0
2000,Bioetanol,Consumo,0
2001,Bioetanol,Consumo,0
2002,Bioetanol,Consumo,0
2003,Bioetanol,Consumo,0
2004,Bioetanol,Consumo,0
2005,Bioetanol,Consumo,0
2006,Bioetanol,Consumo,0
2007,Bioetanol,Consumo,0
2008,Bioetanol,Consumo,0
2009,Bioetanol,Consumo,0
2010,Bioetanol,Consumo,0
2011,Bioetanol,Consumo,0
2012,Bioetanol,Consumo,0
2013,Bioetanol,Consumo,0
2014,Bioetanol,Consumo,0
2015,Bioetanol,Consumo,0
1960,Biodiesel,Oferta,0
1961,Biodiesel,Oferta,0
1962,Biodiesel,Oferta,0
1963,Biodiesel,Oferta,0
1964,Biodiesel,Oferta,0
1965,Biodiesel,Oferta,0
1966,Biodiesel,Oferta,0
1967,Biodiesel,Oferta,0
1968,Biodiesel,Oferta,0
1969,Biodiesel,Oferta,0
1970,Biodiesel,Oferta,0
1971,Biodiesel,Oferta,0
1972,Biodiesel,Oferta,0
1973,Biodiesel,Oferta,0
1974,Biodiesel,Oferta,0
1975,Biodiesel,Oferta,0
1976,Biodiesel,Oferta,0
1977,Biodiesel,Oferta,0
1978,Biodiesel,Oferta,0
1979,Biodiesel,Oferta,0
1980,Biodiesel,Oferta,0
1981,Biodiesel,Oferta,0
1982,Biodiesel,Oferta,0
1983,Biodiesel,Oferta,0
1984,Biodiesel,Oferta,0
1985,Biodiesel,Oferta,0
1986,Biodiesel,Oferta,0
1987,Biodiesel,Oferta,0
1988,Biodiesel,Oferta,0
1989,Biodiesel,Oferta,0
1990,Biodiesel,Oferta,0
1991,Biodiesel,Oferta,0
1992,Biodiesel,Oferta,0
1993,Biodiesel,Oferta,0
1994,Biodiesel,Oferta,0
1995,Biodiesel,Oferta,0
1996,Biodiesel,Oferta,0
1997,Biodiesel,Oferta,0
1998,Biodiesel,Oferta,0
1999,Biodiesel,Oferta,0
2000,Biodiesel,Oferta,0
2001,Biodiesel,Oferta,0
2002,Biodiesel,Oferta,0
2003,Biodiesel,Oferta,0
2004,Biodiesel,Oferta,0
2005,Biodiesel,Oferta,0
2006,Biodiesel,Oferta,0
2007,Biodiesel,Oferta,0
2008,Biodiesel,Oferta,-605.4
2009,Biodiesel,Oferta,-1016.6
2010,Biodiesel,Oferta,-1194.7
2011,Biodiesel,Oferta,-1467.9
2012,Biodiesel,Oferta,-1373.4
2013,Biodiesel,Oferta,-1022.8
2014,Biodiesel,Oferta,-1426.4
2015,Biodiesel,Oferta,-701.5
1960,Biodiesel,Transformacion,0
1961,Biodiesel,Transformacion,0
1962,Biodiesel,Transformacion,0
1963,Biodiesel,Transformacion,0
1964,Biodiesel,Transformacion,0
1965,Biodiesel,Transformacion,0
1966,Biodiesel,Transformacion,0
1967,Biodiesel,Transformacion,0
1968,Biodiesel,Transformacion,0
1969,Biodiesel,Transformacion,0
1970,Biodiesel,Transformacion,0
1971,Biodiesel,Transformacion,0
1972,Biodiesel,Transformacion,0
1973,Biodiesel,Transformacion,0
1974,Biodiesel,Transformacion,0
1975,Biodiesel,Transformacion,0
1976,Biodiesel,Transformacion,0
1977,Biodiesel,Transformacion,0
1978,Biodiesel,Transformacion,0
1979,Biodiesel,Transformacion,0
1980,Biodiesel,Transformacion,0
1981,Biodiesel,Transformacion,0
1982,Biodiesel,Transformacion,0
1983,Biodiesel,Transformacion,0
1984,Biodiesel,Transformacion,0
1985,Biodiesel,Transformacion,0
1986,Biodiesel,Transformacion,0
1987,Biodiesel,Transformacion,0
1988,Biodiesel,Transformacion,0
1989,Biodiesel,Transformacion,0
1990,Biodiesel,Transformacion,0
1991,Biodiesel,Transformacion,0
1992,Biodiesel,Transformacion,0
1993,Biodiesel,Transformacion,0
1994,Biodiesel,Transformacion,0
1995,Biodiesel,Transformacion,0
1996,Biodiesel,Transformacion,0
1997,Biodiesel,Transformacion,0
1998,Biodiesel,Transformacion,0
1999,Biodiesel,Transformacion,0
2000,Biodiesel,Transformacion,0
2001,Biodiesel,Transformacion,0
2002,Biodiesel,Transformacion,0
2003,Biodiesel,Transformacion,0
2004,Biodiesel,Transformacion,0
2005,Biodiesel,Transformacion,0
2006,Biodiesel,Transformacion,0
2007,Biodiesel,Transformacion,0
2008,Biodiesel,Transformacion,605.4
2009,Biodiesel,Transformacion,1016.6
2010,Biodiesel,Transformacion,1194.7
2011,Biodiesel,Transformacion,1467.9
2012,Biodiesel,Transformacion,1373.4
2013,Biodiesel,Transformacion,1022.8
2014,Biodiesel,Transformacion,1426.4
2015,Biodiesel,Transformacion,701.5
1960,Biodiesel,Consumo,0
1961,Biodiesel,Consumo,0
1962,Biodiesel,Consumo,0
1963,Biodiesel,Consumo,0
1964,Biodiesel,Consumo,0
1965,Biodiesel,Consumo,0
1966,Biodiesel,Consumo,0
1967,Biodiesel,Consumo,0
1968,Biodiesel,Consumo,0
1969,Biodiesel,Consumo,0
1970,Biodiesel,Consumo,0
1971,Biodiesel,Consumo,0
1972,Biodiesel,Consumo,0
1973,Biodiesel,Consumo,0
1974,Biodiesel,Consumo,0
1975,Biodiesel,Consumo,0
1976,Biodiesel,Consumo,0
1977,Biodiesel,Consumo,0
1978,Biodiesel,Consumo,0
1979,Biodiesel,Consumo,0
1980,Biodiesel,Consumo,0
1981,Biodiesel,Consumo,0
1982,Biodiesel,Consumo,0
1983,Biodiesel,Consumo,0
1984,Biodiesel,Consumo,0
1985,Biodiesel,Consumo,0
1986,Biodiesel,Consumo,0
1987,Biodiesel,Consumo,0
1988,Biodiesel,Consumo,0
1989,Biodiesel,Consumo,0
1990,Biodiesel,Consumo,0
1991,Biodiesel,Consumo,0
1992,Biodiesel,Consumo,0
1993,Biodiesel,Consumo,0
1994,Biodiesel,Consumo,0
1995,Biodiesel,Consumo,0
1996,Biodiesel,Consumo,0
1997,Biodiesel,Consumo,0
1998,Biodiesel,Consumo,0
1999,Biodiesel,Consumo,0
2000,Biodiesel,Consumo,0
2001,Biodiesel,Consumo,0
2002,Biodiesel,Consumo,0
2003,Biodiesel,Consumo,0
2004,Biodiesel,Consumo,0
2005,Biodiesel,Consumo,0
2006,Biodiesel,Consumo,0
2007,Biodiesel,Consumo,0
2008,Biodiesel,Consumo,0
2009,Biodiesel,Consumo,0
2010,Biodiesel,Consumo,0
2011,Biodiesel,Consumo,0
2012,Biodiesel,Consumo,0
2013,Biodiesel,Consumo,0
2014,Biodiesel,Consumo,0
2015,Biodiesel,Consumo,0
2016,Hidraulica,Oferta,3250.2
2016,Hidraulica,Transformacion,-3250.2
2016,Hidraulica,Consumo,0
2016,Nuclear,Oferta,2224
2016,Nuclear,Transformacion,-2224
2016,Nuclear,Consumo,0
2016,Gas Natural de Pozo,Oferta,42882.2
2016,Gas Natural de Pozo,Transformacion,-38124.8
2016,Gas Natural de Pozo,Consumo,-4757.2
2016,Petroleo,Oferta,25590.8
2016,Petroleo,Transformacion,-25501.1
2016,Petroleo,Consumo,-90.2
2016,Carbon Mineral,Oferta,1048
2016,Carbon Mineral,Transformacion,-1021.8
2016,Carbon Mineral,Consumo,-25.9
2016,Leña,Oferta,834.3
2016,Leña,Transformacion,-625.3
2016,Leña,Consumo,-209
2016,Bagazo,Oferta,829.6
2016,Bagazo,Transformacion,-103.6
2016,Bagazo,Consumo,-726.1
2016,Aceites Vegetales,Oferta,2467.4
2016,Aceites Vegetales,Transformacion,-2467.4
2016,Aceites Vegetales,Consumo,0
2016,Alcohol Vegetal,Oferta,464.3
2016,Alcohol Vegetal,Transformacion,-464.3
2016,Alcohol Vegetal,Consumo,0
2016,Eolica,Oferta,176
2016,Eolica,Transformacion,-47.1
2016,Eolica,Consumo,-128.9
2016,Solar,Oferta,1.2
2016,Solar,Transformacion,-1.2
2016,Solar,Consumo,0
2016,Otros Primarios,Oferta,292
2016,Otros Primarios,Transformacion,-292
2016,Otros Primarios,Consumo,0
2016,Electricidad,Oferta,-938.1
2016,Electricidad,Transformacion,12658.6
2016,Electricidad,Consumo,-11720.5
2016,Gas Distribuido,Oferta,1835.2
2016,Gas Distribuido,Transformacion,19579.5
2016,Gas Distribuido,Consumo,-21414.6
2016,Gas de Refineria,Oferta,-71
2016,Gas de Refineria,Transformacion,1182.7
2016,Gas de Refineria,Consumo,-1111.3
2016,GLP,Oferta,-937.4
2016,GLP,Transformacion,2864.6
2016,GLP,Consumo,-1927.2
2016,Gasolina Estabilizada,Oferta,-177.3
2016,Gasolina Estabilizada,Transformacion,177.7
2016,Gasolina Estabilizada,Consumo,0
2016,Otras Naftas,Oferta,-449.6
2016,Otras Naftas,Transformacion,810.5
2016,Otras Naftas,Consumo,-360.9
2016,Motonaftas,Oferta,123.1
2016,Motonaftas,Transformacion,6333.8
2016,Motonaftas,Consumo,-6456.9
2016,Kerosene,Oferta,-839.7
2016,Kerosene,Transformacion,1377.6
2016,Kerosene,Consumo,-537.9
2016,Gas Oil,Oferta,3520.2
2016,Gas Oil,Transformacion,7745.8
2016,Gas Oil,Consumo,-11266.1
2016,Fuel Oil,Oferta,-586.8
2016,Fuel Oil,Transformacion,1108.6
2016,Fuel Oil,Consumo,-522.3
2016,Carbón Residual,Oferta,0
2016,Carbón Residual,Transformacion,0
2016,Carbón Residual,Consumo,0
2016,No Energetico,Oferta,-56.4
2016,No Energetico,Transformacion,834
2016,No Energetico,Consumo,-778
2016,Gas de Coqueria,Oferta,0
2016,Gas de Coqueria,Transformacion,82.3
2016,Gas de Coqueria,Consumo,-82.3
2016,Gas de Alto Horno,Oferta,0
2016,Gas de Alto Horno,Transformacion,400.8
2016,Gas de Alto Horno,Consumo,-400.8
2016,Coque de Carbón,Oferta,0
2016,Coque de Carbón,Transformacion,0
2016,Coque de Carbón,Consumo,0
2016,Carbón Vegetal,Oferta,0
2016,Carbón Vegetal,Transformacion,300.8
2016,Carbón Vegetal,Consumo,-300.8
2016,Bioetanol,Oferta,11
2016,Bioetanol,Transformacion,-10.6
2016,Bioetanol,Consumo,0
2016,Biodiesel,Oferta,-1444.4
2016,Biodiesel,Transformacion,1444.4
2016,Biodiesel,Consumo,0
