formas_de_energia,produccion,importacion,var_stock,exportacion,no_aprovechado,perdidas,ajuste,centrales,autoproduccion,plant_trat_gas,refinerias,aceiteras_y_dest,coquerias,carboneras,altos_hornos,cons_prop,no_energetico,residencial,comercial_y_pub,transporte,agrop,industria
Hidraulica,3425,0,0,0,0,-33.9,0,-3381.6,-9.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,0,2189,0,0,0,0,0,-2188.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas De Pozo,44388.1,745.3,0,-114,-738,-738,593,0,0,-40041.7,0,0,0,0,0,-4094.6,0,0,0,0,0,0
Petroleo,32409.8,4.3,-116.4,-2843.2,0,0,-891,0,0,0,-28496.1,0,0,0,0,-67,0,0,0,0,0,0
Carbon Mineral,53.4,1335.6,-29.1,-39.9,0,0,186,-433.8,-13.7,0,0,0,-1050.8,0,0,0,0,0,0,0,0,-7.5
Leña,781.3,0,0,0,0,0,0,0,-142.7,0,0,0,0,-373.9,0,0,0,-105.9,-52.9,0,0,-105.9
Bagazo,962,0,0,0,0,0,0,0,-143.5,0,0,0,0,0,0,0,0,0,0,0,0,-818.5
Aceites Vegetales,631.4,0,0,0,0,0,0,0,0,0,0,-631.4,0,0,0,0,0,0,0,0,0,0
Alcohol Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eolica,132.5,0,0,0,0,0,0,-3.6,0,0,0,0,0,0,0,0,0,0,0,0,-128.9,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otros Primarios,290.9,0,0,0,0,0,0,0,-290.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Electricidad,0,727.3,0,-255.8,0,-1561.6,0,9310.5,1173.4,0,0,0,0,0,0,-351.8,0,-2697.1,-2277.1,-56.1,-62.8,-3948.8
Gas Distribuido,0,376,5.6,-696.5,-176.6,-2266.7,0,-10572.5,-1664,34889.8,0,0,0,0,0,-1148.2,0,-7618.2,-1336,-2264.6,0,-7528.1
Gas De Refineria,0,0,0,0,0,0,-177,0,-96.3,0,1006.8,0,0,0,0,-733.3,0,0,0,0,0,0
Gas Licuado,0,0,-30.4,-1718.9,0,0,0,0,0,2052.2,1318.5,0,0,0,0,-11,0,-1159.5,-193.2,0,-80.5,-177.1
Gasolina Estabilizada Petroleo Y Gas,0,0,0,-207.5,0,0,0,0,0,1457.3,-857.2,0,0,0,0,0,-392.6,0,0,0,0,0
Otras Naftas,0,19.4,0,-2124.9,0,0,0,0,0,0,2372.7,0,0,0,0,0,-267.3,0,0,0,0,0
Motonaftas,0,38.9,1.2,-51.5,0,0,0,0,0,0,4393.9,0,0,0,0,0,0,0,0,-4382.4,0,0
Kerosene,0,12.6,14.4,-829.5,0,0,0,0,0,0,1257.7,0,0,0,0,0,0,-8.5,0,-446.6,0,0
Gasoil,0,1839.9,22.5,-238.1,0,0,0,-776.4,-45,0,10745.8,0,0,0,0,-75.1,0,0,-114.7,-7572.6,-3671.6,-114.7
Fueloil,0,803.8,9.9,-2373.9,0,0,0,-2286.9,-138.9,0,4619.9,0,0,0,0,-269,0,0,-51.1,-69.3,-98.5,-146
Carbon Residual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Energetico,0,13.1,-25.2,-44.5,0,0,0,0,0,1642,1145.6,0,31.5,0,667.3,0,-3429.7,0,0,0,0,0
Gas Coqueria,0,0,0,0,0,0,0,0,-18.5,0,0,0,157.6,0,0,-139.1,0,0,0,0,0,0
Gas Alto Horno,0,0,0,0,0,0,0,0,-168.8,0,0,0,0,0,710.8,-542,0,0,0,0,0,0
Coque De Carbon,0,0,0,0,0,0,0,0,0,0,988.7,0,788.1,0,-1450.6,0,-326.3,0,0,0,0,0
Carbon Vegetal,0,0,0,0,0,0,0,0,0,0,0,0,0,252.9,0,0,0,-151.7,-101.2,0,0,0
Bioetanol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biodiesel,0,0,0,-605.4,0,0,0,0,0,0,-0.2,605.6,0,0,0,0,0,0,0,0,0,0
Pérdidas,0,0,0,0,0,0,0,10333.2,1558.5,0.4,1503.9,25.8,73.6,121,72.5,0,0,0,0,0,0,0
